fold,scheme,classifier,validation_balanced_accuracy,selected_by_validation,accuracy,balanced_accuracy,macro_f1,roc_auc,left_recall,right_recall,n,left_left,left_right,right_left,right_right
A_to_B,erp,logistic,0.5702614379084967,False,0.5512820512820513,0.5501234567901234,0.550098879367172,0.5506172839506174,0.52,0.5802469135802469,156,39,36,34,47
A_to_B_task1,erp,logistic,0.5702614379084967,False,0.5595238095238095,0.5584231423709586,0.5579576162708006,0.5433919455473624,0.5121951219512195,0.6046511627906976,84,21,20,17,26
A_to_B_task2,erp,logistic,0.5702614379084967,False,0.5416666666666666,0.5410216718266254,0.5408695652173914,0.5557275541795665,0.5294117647058824,0.5526315789473685,72,18,16,17,21
A_to_B,source,svm,0.5947712418300654,True,0.5064102564102564,0.508888888888889,0.5054144192366287,0.5119341563786008,0.5733333333333334,0.4444444444444444,156,43,32,45,36
A_to_B_task1,source,svm,0.5947712418300654,True,0.5238095238095238,0.5241066364152014,0.5238095238095238,0.5099262620533183,0.5365853658536586,0.5116279069767442,84,22,19,21,22
A_to_B_task2,source,svm,0.5947712418300654,True,0.4861111111111111,0.4930340557275542,0.48120740019474195,0.523219814241486,0.6176470588235294,0.3684210526315789,72,21,13,24,14
A_to_B,scalp,svm,0.542483660130719,False,0.47435897435897434,0.47604938271604935,0.47401315789473686,0.4714403292181069,0.52,0.43209876543209874,156,39,36,46,35
A_to_B_task1,scalp,svm,0.542483660130719,False,0.5119047619047619,0.5113442994895065,0.5112813963388676,0.500850822461713,0.4878048780487805,0.5348837209302325,84,20,21,20,23
A_to_B_task2,scalp,svm,0.542483660130719,False,0.4305555555555556,0.4373065015479876,0.4251217137293087,0.41099071207430343,0.5588235294117647,0.3157894736842105,72,19,15,26,12
A_to_B,combined,svm,0.5392156862745098,False,0.5384615384615384,0.5402469135802469,0.5381578947368422,0.5511111111111111,0.5866666666666667,0.49382716049382713,156,44,31,41,40
A_to_B_task1,combined,svm,0.5392156862745098,False,0.5238095238095238,0.5241066364152014,0.5238095238095238,0.5258082813386273,0.5365853658536586,0.5116279069767442,84,22,19,21,22
A_to_B_task2,combined,svm,0.5392156862745098,False,0.5555555555555556,0.5603715170278638,0.5541795665634675,0.5789473684210527,0.6470588235294118,0.47368421052631576,72,22,12,20,18
B_to_A,erp,lda,0.5058823529411764,False,0.5521472392638037,0.5614181597327665,0.5510658366345973,0.5999088976617067,0.4606741573033708,0.6621621621621622,163,41,48,25,49
B_to_A_task1,erp,lda,0.5058823529411764,False,0.5487804878048781,0.55,0.5481757259865971,0.5964285714285715,0.5,0.6,82,21,21,16,24
B_to_A_task2,erp,lda,0.5058823529411764,False,0.5555555555555556,0.5804130162703379,0.5538555691554468,0.6088861076345432,0.425531914893617,0.7352941176470589,81,20,27,9,25
B_to_A,source,svm,0.5647058823529412,True,0.49693251533742333,0.5074400242939568,0.49463097398669087,0.47236562405101734,0.39325842696629215,0.6216216216216216,163,35,54,28,46
B_to_A_task1,source,svm,0.5647058823529412,True,0.573170731707317,0.575595238095238,0.5700374531835206,0.5827380952380953,0.47619047619047616,0.675,82,20,22,13,27
B_to_A_task2,source,svm,0.5647058823529412,True,0.41975308641975306,0.43898623279098875,0.41833460656990074,0.38360450563204007,0.3191489361702128,0.5588235294117647,81,15,32,15,19
B_to_A,scalp,lda,0.5176470588235295,False,0.4785276073619632,0.4769207409656848,0.47655748233782913,0.48329790464621925,0.4943820224719101,0.4594594594594595,163,44,45,40,34
B_to_A_task1,scalp,lda,0.5176470588235295,False,0.524390243902439,0.5244047619047619,0.5243195002231147,0.5398809523809524,0.5238095238095238,0.525,82,22,20,19,21
B_to_A_task2,scalp,lda,0.5176470588235295,False,0.43209876543209874,0.42521902377972465,0.425,0.43241551939924905,0.46808510638297873,0.38235294117647056,81,22,25,21,13
B_to_A,combined,logistic,0.5607843137254902,False,0.558282208588957,0.5647585788035225,0.558132530120482,0.5674157303370786,0.4943820224719101,0.6351351351351351,163,44,45,27,47
B_to_A_task1,combined,logistic,0.5607843137254902,False,0.5365853658536586,0.536904761904762,0.5365853658536586,0.5946428571428571,0.5238095238095238,0.55,82,22,20,18,22
B_to_A_task2,combined,logistic,0.5607843137254902,False,0.5802469135802469,0.6016896120150188,0.5796703296703296,0.532540675844806,0.46808510638297873,0.7352941176470589,81,22,25,9,25
