fold,scheme,feature,coefficient
A_to_B,source,左源投影,-0.10767868489867988
A_to_B,source,右源投影,-0.10382279434885518
A_to_B,source,公共源投影,-0.07622094342970898
A_to_B,source,左右源差,-0.013460449331435595
A_to_B,source,归一选择指数,0.01818245171445981
A_to_B,source,左模板误差,-0.047837109587743586
A_to_B,source,右模板误差,0.017371729041721237
A_to_B,source,最佳时间偏移,0.2749725183969204
B_to_A,source,左源投影,-0.0782707467631753
B_to_A,source,右源投影,0.03504606830429282
B_to_A,source,公共源投影,-0.028791101662179654
B_to_A,source,左右源差,-0.06781153453275593
B_to_A,source,归一选择指数,0.13250442483068972
B_to_A,source,左模板误差,0.020450514227921417
B_to_A,source,右模板误差,0.042567947405413316
B_to_A,source,最佳时间偏移,-0.017941628519308247
