task,direction,channel,time_s,amplitude
1,-1,F3,-0.19921875,4.158361306680625
1,-1,F3,-0.1953125,3.8131095779285795
1,-1,F3,-0.19140625,3.394704602519004
1,-1,F3,-0.1875,2.9335322662417296
1,-1,F3,-0.18359375,2.6967605219076964
1,-1,F3,-0.1796875,2.5496343264417796
1,-1,F3,-0.17578125,2.5138581926370622
1,-1,F3,-0.171875,2.6635965382957236
1,-1,F3,-0.16796875,2.7459552299787338
1,-1,F3,-0.1640625,2.7971564088543825
1,-1,F3,-0.16015625,2.6666952563221993
1,-1,F3,-0.15625,2.3664326073541586
1,-1,F3,-0.15234375,2.035144635816607
1,-1,F3,-0.1484375,1.4193531098119312
1,-1,F3,-0.14453125,0.8370590368749924
1,-1,F3,-0.140625,0.3349398484638787
1,-1,F3,-0.13671875,-0.13036641821885397
1,-1,F3,-0.1328125,-0.40130768567085273
1,-1,F3,-0.12890625,-0.6785347557594038
1,-1,F3,-0.125,-0.8098280489850542
1,-1,F3,-0.12109375,-0.9136506020927478
1,-1,F3,-0.1171875,-0.8933766159070927
1,-1,F3,-0.11328125,-0.661674434836717
1,-1,F3,-0.109375,-0.4026619036770289
1,-1,F3,-0.10546875,0.0628488919304947
1,-1,F3,-0.1015625,0.49126480452133403
1,-1,F3,-0.09765625,0.9019064394320369
1,-1,F3,-0.09375,1.2851728371903608
1,-1,F3,-0.08984375,1.418223629110201
1,-1,F3,-0.0859375,1.5304543872439793
1,-1,F3,-0.08203125,1.4996886383088799
1,-1,F3,-0.078125,1.3172274364928787
1,-1,F3,-0.07421875,1.0823023747048848
1,-1,F3,-0.0703125,0.6250920909715617
1,-1,F3,-0.06640625,0.038987315377091214
1,-1,F3,-0.0625,-0.590479494583191
1,-1,F3,-0.05859375,-1.2016416582343716
1,-1,F3,-0.0546875,-1.5723176665271719
1,-1,F3,-0.05078125,-1.6409981807255458
1,-1,F3,-0.046875,-1.6599351448140813
1,-1,F3,-0.04296875,-1.6447543163536615
1,-1,F3,-0.0390625,-1.6465045808364671
1,-1,F3,-0.03515625,-1.9480370014076895
1,-1,F3,-0.03125,-2.430243887348545
1,-1,F3,-0.02734375,-3.027747350051868
1,-1,F3,-0.0234375,-3.721505111657204
1,-1,F3,-0.01953125,-4.305493657424395
1,-1,F3,-0.015625,-4.733074682598444
1,-1,F3,-0.01171875,-4.955903319862176
1,-1,F3,-0.0078125,-5.034844784645359
1,-1,F3,-0.00390625,-5.17458100919476
1,-1,F3,0.0,-5.3551205817371414
1,-1,F3,0.00390625,-5.574751499994901
1,-1,F3,0.0078125,-5.750085846225348
1,-1,F3,0.01171875,-5.7117656105128365
1,-1,F3,0.015625,-5.629330758218607
1,-1,F3,0.01953125,-5.598838376995049
1,-1,F3,0.0234375,-5.660248298737694
1,-1,F3,0.02734375,-5.906560960242331
1,-1,F3,0.03125,-6.182619247739699
1,-1,F3,0.03515625,-6.46489210966675
1,-1,F3,0.0390625,-6.66597888290219
1,-1,F3,0.04296875,-6.753059926411471
1,-1,F3,0.046875,-6.978490565329065
1,-1,F3,0.05078125,-7.198196845245893
1,-1,F3,0.0546875,-7.474909440639388
1,-1,F3,0.05859375,-7.832513785814866
1,-1,F3,0.0625,-8.026213651310382
1,-1,F3,0.06640625,-8.26182401918357
1,-1,F3,0.0703125,-8.479702900120014
1,-1,F3,0.07421875,-8.702837376994092
1,-1,F3,0.078125,-9.067898978501475
1,-1,F3,0.08203125,-9.38080661345461
1,-1,F3,0.0859375,-9.80612941710743
1,-1,F3,0.08984375,-10.349369618679278
1,-1,F3,0.09375,-10.83388167278796
1,-1,F3,0.09765625,-11.259981655662566
1,-1,F3,0.1015625,-11.497375651733272
1,-1,F3,0.10546875,-11.649534593859084
1,-1,F3,0.109375,-11.810187622393592
1,-1,F3,0.11328125,-12.05416781154055
1,-1,F3,0.1171875,-12.49421492574055
1,-1,F3,0.12109375,-12.94378880683886
1,-1,F3,0.125,-13.35773673932092
1,-1,F3,0.12890625,-13.70843224252412
1,-1,F3,0.1328125,-13.86466704993534
1,-1,F3,0.13671875,-13.907688893700138
1,-1,F3,0.140625,-13.868998332300759
1,-1,F3,0.14453125,-13.737335288660256
1,-1,F3,0.1484375,-13.60770792492644
1,-1,F3,0.15234375,-13.559246274374114
1,-1,F3,0.15625,-13.699844987235485
1,-1,F3,0.16015625,-13.871897072440696
1,-1,F3,0.1640625,-14.00581990278019
1,-1,F3,0.16796875,-14.151863524215813
1,-1,F3,0.171875,-14.261247909199922
1,-1,F3,0.17578125,-14.496995235125178
1,-1,F3,0.1796875,-14.795161607280804
1,-1,F3,0.18359375,-15.17339137504203
1,-1,F3,0.1875,-15.577132516118965
1,-1,F3,0.19140625,-15.89223445338779
1,-1,F3,0.1953125,-16.231928742885838
1,-1,F3,0.19921875,-16.580264770967773
1,-1,F3,0.203125,-16.964925949250322
1,-1,F3,0.20703125,-17.22121917608829
1,-1,F3,0.2109375,-17.40893690078963
1,-1,F3,0.21484375,-17.568782969551737
1,-1,F3,0.21875,-17.593756131829714
1,-1,F3,0.22265625,-17.665398861585736
1,-1,F3,0.2265625,-17.699419062064337
1,-1,F3,0.23046875,-17.747723946743164
1,-1,F3,0.234375,-17.76818926687093
1,-1,F3,0.23828125,-17.71032358136872
1,-1,F3,0.2421875,-17.81021100594226
1,-1,F3,0.24609375,-17.958302887531378
1,-1,F3,0.25,-18.233351737194994
1,-1,F3,0.25390625,-18.508108324395373
1,-1,F3,0.2578125,-18.594916291843752
1,-1,F3,0.26171875,-18.598560062218745
1,-1,F3,0.265625,-18.36889220903016
1,-1,F3,0.26953125,-18.009396124712392
1,-1,F3,0.2734375,-17.594617180018805
1,-1,F3,0.27734375,-17.26432116819327
1,-1,F3,0.28125,-16.975736079426056
1,-1,F3,0.28515625,-16.683833511891336
1,-1,F3,0.2890625,-16.625911544669734
1,-1,F3,0.29296875,-16.480677790579954
1,-1,F3,0.296875,-16.35160366779217
1,-1,F3,0.30078125,-16.34024786525033
1,-1,F3,0.3046875,-16.336419607609464
1,-1,F3,0.30859375,-16.498679907215404
1,-1,F3,0.3125,-16.667438068530434
1,-1,F3,0.31640625,-16.81898055858361
1,-1,F3,0.3203125,-16.94504813878436
1,-1,F3,0.32421875,-17.005852401094558
1,-1,F3,0.328125,-16.964905316235416
1,-1,F3,0.33203125,-16.890897276080953
1,-1,F3,0.3359375,-16.816815306539883
1,-1,F3,0.33984375,-16.717899886971296
1,-1,F3,0.34375,-16.743188756700636
1,-1,F3,0.34765625,-16.764445433518993
1,-1,F3,0.3515625,-16.756383081861795
1,-1,F3,0.35546875,-16.82936013665436
1,-1,F3,0.359375,-17.00282508080155
1,-1,F3,0.36328125,-17.276457337601375
1,-1,F3,0.3671875,-17.67778348590343
1,-1,F3,0.37109375,-18.103946523555578
1,-1,F3,0.375,-18.355119644941706
1,-1,F3,0.37890625,-18.504517635554716
1,-1,F3,0.3828125,-18.614995809979423
1,-1,F3,0.38671875,-18.7800298638127
1,-1,F3,0.390625,-19.133179326050325
1,-1,F3,0.39453125,-19.645032616101652
1,-1,F3,0.3984375,-20.326067564000343
1,-1,F3,0.40234375,-21.028462964547437
1,-1,F3,0.40625,-21.668471811573532
1,-1,F3,0.41015625,-22.302342951941462
1,-1,F3,0.4140625,-22.829402272242266
1,-1,F3,0.41796875,-23.325195776605586
1,-1,F3,0.421875,-23.71382520078175
1,-1,F3,0.42578125,-24.01315634531991
1,-1,F3,0.4296875,-24.41147113193548
1,-1,F3,0.43359375,-24.795850605618877
