task,direction,channel,time_s,train_observed,heldout_observed,fitted
1,-1,F3,-0.19921875,6.91138050595631,-2.6219060904042917,0.0
1,-1,F3,-0.1953125,6.079548920626447,-2.3304051828969197,0.0
1,-1,F3,-0.19140625,5.051854237056439,-1.8694741952036278,0.0
1,-1,F3,-0.1875,4.25661263825421,-1.3955836769090337,0.0
1,-1,F3,-0.18359375,3.638399646071955,-0.9018324313555498,0.0
1,-1,F3,-0.1796875,3.6374010497606832,-0.40149231020096154,0.0
1,-1,F3,-0.17578125,3.8684318349878595,0.04917713091769185,0.0
1,-1,F3,-0.171875,4.428085471432953,0.36972529670513515,0.0
1,-1,F3,-0.16796875,4.9804496762572805,0.5720552867843207,0.0
1,-1,F3,-0.1640625,4.941386439882197,0.5688796524893752,0.0
1,-1,F3,-0.16015625,4.582649767978492,0.43351123608188197,0.0
1,-1,F3,-0.15625,3.666533465640058,0.15856937530239681,0.0
1,-1,F3,-0.15234375,2.5947086141874802,-0.21012627766373426,0.0
1,-1,F3,-0.1484375,1.8110828887631791,-0.5532633784366862,0.0
1,-1,F3,-0.14453125,1.2318870815908916,-0.9174048952799227,0.0
1,-1,F3,-0.140625,1.2287038125372518,-1.369438221867204,0.0
1,-1,F3,-0.13671875,1.4459314040302331,-1.8063333390780063,0.0
1,-1,F3,-0.1328125,1.5553678583013837,-2.308710525577947,0.0
1,-1,F3,-0.12890625,1.6391245519519204,-2.727018916050454,0.0
1,-1,F3,-0.125,1.4548860991952888,-2.780223028920177,0.0
1,-1,F3,-0.12109375,1.2228899722339064,-2.5894993626882643,0.0
1,-1,F3,-0.1171875,0.9203773991082035,-2.166756035318657,0.0
1,-1,F3,-0.11328125,0.6657578031143414,-1.5568734617329154,0.0
1,-1,F3,-0.109375,0.9318875506417775,-0.6414213672076664,0.0
1,-1,F3,-0.10546875,1.3557584214785217,0.380033068944632,0.0
1,-1,F3,-0.1015625,1.905199801651511,1.3960597130006982,0.0
1,-1,F3,-0.09765625,2.374468579419681,2.3786869882767405,0.0
1,-1,F3,-0.09375,2.473657156018079,3.2536865450203076,0.0
1,-1,F3,-0.08984375,2.297913792694173,3.9677271920504618,0.0
1,-1,F3,-0.0859375,1.3738414970776296,4.5719896149825985,0.0
1,-1,F3,-0.08203125,0.19424898505273647,4.948095452798434,0.0
1,-1,F3,-0.078125,-0.9970083970315223,4.792914588902296,0.0
1,-1,F3,-0.07421875,-2.0745184226021545,4.319920357902298,0.0
1,-1,F3,-0.0703125,-2.5289688970871094,3.4404869529951836,0.0
1,-1,F3,-0.06640625,-2.6060898491066777,2.387451495960101,0.0
1,-1,F3,-0.0625,-2.215178217271997,1.303471726380345,0.0
1,-1,F3,-0.05859375,-1.7345828043369718,0.30785731608010974,0.0
1,-1,F3,-0.0546875,-1.5443665745102202,-0.3681963033891854,0.0
1,-1,F3,-0.05078125,-1.6849529033695674,-0.800004078830546,0.0
1,-1,F3,-0.046875,-2.5707521588500644,-0.6114512728050534,0.0
1,-1,F3,-0.04296875,-3.7096940894610286,-0.20323789908209058,0.0
1,-1,F3,-0.0390625,-4.66112925217715,0.32515568175646564,0.0
1,-1,F3,-0.03515625,-5.392658862707519,0.8072224073452808,0.0
1,-1,F3,-0.03125,-5.774261983788192,0.641310060228616,0.0
1,-1,F3,-0.02734375,-5.998192049666839,0.21910330043409354,0.0
1,-1,F3,-0.0234375,-6.158055761392214,-0.5796024211265165,0.0
1,-1,F3,-0.01953125,-6.359373281419426,-1.4757313363524593,0.0
1,-1,F3,-0.015625,-6.7346532800532275,-1.9355175198199717,0.0
1,-1,F3,-0.01171875,-7.129824898231002,-2.217322658914306,0.0
1,-1,F3,-0.0078125,-7.370140897113862,-2.201140978105685,0.0
1,-1,F3,-0.00390625,-7.476024342776311,-2.053123276122001,0.0
1,-1,F3,0.0,-7.460155429305579,-2.0309625823110276,0.0
1,-1,F3,0.00390625,-7.403321707175015,-2.005606144737306,-0.01204382110707269
1,-1,F3,0.0078125,-7.199567340386225,-2.068455181733925,-0.04737395390200935
1,-1,F3,0.01171875,-7.033458102787671,-2.125251494108332,-0.10485916474517243
1,-1,F3,0.015625,-7.238297479407422,-1.9356945531165755,-0.18340510108903177
1,-1,F3,0.01953125,-7.625069234229341,-1.6668144112598986,-0.2819539289231888
1,-1,F3,0.0234375,-8.353134887258564,-1.3727650940043274,-0.39948386392704743
1,-1,F3,0.02734375,-9.19530034532902,-1.0814103060567894,-0.5350086124951827
1,-1,F3,0.03125,-9.893776781192695,-0.9361111155801183,-0.6875767372286948
1,-1,F3,0.03515625,-10.500153964889577,-0.878096834957521,-0.854217914574341
1,-1,F3,0.0390625,-10.8760073790118,-0.8179566058095948,-1.0333628361111165
1,-1,F3,0.04296875,-11.108904457938396,-0.8288111195281749,-1.2242797010041928
1,-1,F3,0.046875,-11.178966994442977,-1.00534611932706,-1.426264406207644
1,-1,F3,0.05078125,-11.156897333446281,-1.2947440449825764,-1.6386398369767403
1,-1,F3,0.0546875,-11.095997695527863,-1.8059446988519556,-1.8607551376366747
1,-1,F3,0.05859375,-11.045880267932425,-2.401106132416795,-2.0919849688991454
1,-1,F3,0.0625,-11.009543783077959,-3.000280610657215,-2.3317287571987872
1,-1,F3,0.06640625,-11.071748921033526,-3.5524455423133903,-2.579409940783027
1,-1,F3,0.0703125,-11.362439842450977,-3.964732798780844,-2.8344752166260596
1,-1,F3,0.07421875,-11.803428390263932,-4.275196845705604,-3.0963937916448683
1,-1,F3,0.078125,-12.654818386361423,-4.234058507468049,-3.364656641166907
1,-1,F3,0.08203125,-13.627984902796038,-4.057419833979975,-3.6387757771299283
1,-1,F3,0.0859375,-14.462672311901093,-4.050189921723575,-3.9182835280791797
1,-1,F3,0.08984375,-15.196858302467607,-4.058969825068338,-4.202731832660913
1,-1,F3,0.09375,-15.608426173744716,-4.09387144079619,-4.491691547989112
1,-1,F3,0.09765625,-15.885151982666551,-4.1192047794813265,-4.784751773980212
1,-1,F3,0.1015625,-15.920697238356395,-3.990553620315042,-5.08151919450428
1,-1,F3,0.10546875,-15.906552569601113,-3.831526818139734,-5.381617435986912
1,-1,F3,0.109375,-16.258314878893565,-3.6190794562937603,-5.684686443910506
1,-1,F3,0.11328125,-16.72553394813237,-3.4516129780280562,-5.99038187750353
