task,direction,source,time_s,value
1,-1,L,-0.19921875,0.0
1,-1,L,-0.1953125,0.0
1,-1,L,-0.19140625,0.0
1,-1,L,-0.1875,0.0
1,-1,L,-0.18359375,0.0
1,-1,L,-0.1796875,0.0
1,-1,L,-0.17578125,0.0
1,-1,L,-0.171875,0.0
1,-1,L,-0.16796875,0.0
1,-1,L,-0.1640625,0.0
1,-1,L,-0.16015625,0.0
1,-1,L,-0.15625,0.0
1,-1,L,-0.15234375,0.0
1,-1,L,-0.1484375,0.0
1,-1,L,-0.14453125,0.0
1,-1,L,-0.140625,0.0
1,-1,L,-0.13671875,0.0
1,-1,L,-0.1328125,0.0
1,-1,L,-0.12890625,0.0
1,-1,L,-0.125,0.0
1,-1,L,-0.12109375,0.0
1,-1,L,-0.1171875,0.0
1,-1,L,-0.11328125,0.0
1,-1,L,-0.109375,0.0
1,-1,L,-0.10546875,0.0
1,-1,L,-0.1015625,0.0
1,-1,L,-0.09765625,0.0
1,-1,L,-0.09375,0.0
1,-1,L,-0.08984375,0.0
1,-1,L,-0.0859375,0.0
1,-1,L,-0.08203125,0.0
1,-1,L,-0.078125,0.0
1,-1,L,-0.07421875,0.0
1,-1,L,-0.0703125,0.0
1,-1,L,-0.06640625,0.0
1,-1,L,-0.0625,0.0
1,-1,L,-0.05859375,0.0
1,-1,L,-0.0546875,0.0
1,-1,L,-0.05078125,0.0
1,-1,L,-0.046875,0.0
1,-1,L,-0.04296875,0.0
1,-1,L,-0.0390625,0.0
1,-1,L,-0.03515625,0.0
1,-1,L,-0.03125,0.0
1,-1,L,-0.02734375,0.0
1,-1,L,-0.0234375,0.0
1,-1,L,-0.01953125,0.0
1,-1,L,-0.015625,0.0
1,-1,L,-0.01171875,0.0
1,-1,L,-0.0078125,0.0
1,-1,L,-0.00390625,0.0
1,-1,L,0.0,0.0
1,-1,L,0.00390625,6.272550002596975e-05
1,-1,L,0.0078125,0.0002468315608404371
1,-1,L,0.01171875,0.0005466212462913983
1,-1,L,0.015625,0.0009565720322069032
1,-1,L,0.01953125,0.0014713360478939737
1,-1,L,0.0234375,0.002085739496122053
1,-1,L,0.02734375,0.002794781364440013
1,-1,L,0.03125,0.003593631530298561
1,-1,L,0.03515625,0.004477628352524462
1,-1,L,0.0390625,0.005442282745065689
1,-1,L,0.04296875,0.006483270271025171
1,-1,L,0.046875,0.007596424917040432
1,-1,L,0.05078125,0.008777735395929133
1,-1,L,0.0546875,0.010023341270269746
1,-1,L,0.05859375,0.011329528941994535
1,-1,L,0.0625,0.012692727547369125
1,-1,L,0.06640625,0.014109504791578227
1,-1,L,0.0703125,0.015576562752497688
1,-1,L,0.07421875,0.017090733679074224
1,-1,L,0.078125,0.018648975806020127
1,-1,L,0.08203125,0.020248369203225557
1,-1,L,0.0859375,0.021886111675360663
1,-1,L,0.08984375,0.02355951472455049
1,-1,L,0.09375,0.025265999586725242
1,-1,L,0.09765625,0.027003093350247222
1,-1,L,0.1015625,0.02876842516366554
1,-1,L,0.10546875,0.03055972253792446
1,-1,L,0.109375,0.03237480774702723
1,-1,L,0.11328125,0.03421159433001248
1,-1,L,0.1171875,0.036068083696114715
1,-1,L,0.12109375,0.037942361834136205
1,-1,L,0.125,0.03983259612633798
1,-1,L,0.12890625,0.04173703226654811
1,-1,L,0.1328125,0.043653991281672744
1,-1,L,0.13671875,0.0455818666553674
1,-1,L,0.140625,0.047519121552272385
1,-1,L,0.14453125,0.049464286140927384
1,-1,L,0.1484375,0.0514159550132476
1,-1,L,0.15234375,0.053372784698260345
1,-1,L,0.15625,0.055333491267659594
1,-1,L,0.16015625,0.05729684803063099
1,-1,L,0.1640625,0.059261683315326295
1,-1,L,0.16796875,0.06122687833431939
1,-1,L,0.171875,0.06319136513135157
1,-1,L,0.17578125,0.06515412460666933
1,-1,L,0.1796875,0.06711418461826896
1,-1,L,0.18359375,0.06907061815638708
1,-1,L,0.1875,0.07102254158861264
1,-1,L,0.19140625,0.07296911297304062
1,-1,L,0.1953125,0.07490953043694107
1,-1,L,0.19921875,0.07684303061847494
1,-1,L,0.203125,0.07876888716905207
1,-1,L,0.20703125,0.08068640931399278
1,-1,L,0.2109375,0.08259494046922417
1,-1,L,0.21484375,0.0844938569118128
1,-1,L,0.21875,0.08638256650220735
1,-1,L,0.22265625,0.08826050745613725
1,-1,L,0.2265625,0.09012714716418518
1,-1,L,0.23046875,0.09198198105712317
1,-1,L,0.234375,0.09382453151517266
1,-1,L,0.23828125,0.09565434681941858
1,-1,L,0.2421875,0.09747100014367563
1,-1,L,0.24609375,0.09927408858517174
1,-1,L,0.25,0.10106323223247848
1,-1,L,0.25390625,0.10283807326918147
1,-1,L,0.2578125,0.1045982751118451
1,-1,L,0.26171875,0.10634352158088493
1,-1,L,0.265625,0.10807351610301891
1,-1,L,0.26953125,0.10978798094402321
1,-1,L,0.2734375,0.1114866564705725
1,-1,L,0.27734375,0.1131693004399952
1,-1,L,0.28125,0.1148356873168239
1,-1,L,0.28515625,0.11648560761506874
1,-1,L,0.2890625,0.1181188672651863
1,-1,L,0.29296875,0.11973528700476134
1,-1,L,0.296875,0.12133470179195943
1,-1,L,0.30078125,0.1229169602408496
1,-1,L,0.3046875,0.12448192407773366
1,-1,L,0.30859375,0.12602946761765643
1,-1,L,0.3125,0.1275594772603055
1,-1,L,0.31640625,0.12907185100454333
1,-1,L,0.3203125,0.13056649798084632
1,-1,L,0.32421875,0.13204333800095658
1,-1,L,0.328125,0.1335023011240808
1,-1,L,0.33203125,0.13494332723899954
1,-1,L,0.3359375,0.13636636566147653
1,-1,L,0.33984375,0.137771374746383
1,-1,L,0.34375,0.13915832151397733
1,-1,L,0.34765625,0.14052718128980254
1,-1,L,0.3515625,0.1418779373576876
1,-1,L,0.35546875,0.14321058062535882
1,-1,L,0.359375,0.14452510930218856
1,-1,L,0.36328125,0.14582152858862782
1,-1,L,0.3671875,0.1470998503768876
1,-1,L,0.37109375,0.14836009296245184
1,-1,L,0.375,0.14960228076602144
1,-1,L,0.37890625,0.15082644406550566
1,-1,L,0.3828125,0.15203261873769167
1,-1,L,0.38671875,0.15322084600923855
1,-1,L,0.390625,0.154391172216656
1,-1,L,0.39453125,0.15554364857494102
1,-1,L,0.3984375,0.15667833095455957
1,-1,L,0.40234375,0.1577952796664717
1,-1,L,0.40625,0.1588945592549108
1,-1,L,0.41015625,0.15997623829763905
1,-1,L,0.4140625,0.16104038921341157
1,-1,L,0.41796875,0.1620870880763923
1,-1,L,0.421875,0.16311641443727443
