parameter,value,lower,upper,boundary
tau_r,0.1199999999999999,0.008,0.12,True
tau_gap,0.7496627932314701,0.025,0.75,True
tau_s,0.3999999997390272,0.015,0.4,True
tau_c,0.6499999540621633,0.025,0.65,True
rho,0.6100788976758232,0.0,0.95,False
g_s,0.4643265599360102,0.2,5.0,False
delta_1,0.03038119412720983,0.03,0.65,True
delta_2,0.1387922871092787,0.03,0.7,False
g_c1,0.050000013680596526,0.05,6.0,True
g_c2,3.068203430896224,0.05,8.0,False
a,-114.31395056411903,-1165.9357039023535,1165.9357039023535,False
b,-127.35032107512109,-1165.9357039023535,1165.9357039023535,False
c,342.617881055843,-1165.9357039023535,1165.9357039023535,False
d,6.157956512662163,-1165.9357039023535,1165.9357039023535,False
e,169.6175462669869,-1165.9357039023535,1165.9357039023535,False
