file,outer_fold,method,highpass,auc,split_half,baseline_std,event_stat,valid_trials
VisualCogA_Task-1.mat,1,B1,0.1,0.5757575757575758,0.4295070282565773,17.84210578952808,-0.5301226250692096,20
VisualCogA_Task-1.mat,1,B2,0.1,0.275,0.8534302284221399,10.198571595248234,0.06953798252253851,13
VisualCogA_Task-1.mat,1,B3,0.3,0.3111111111111111,0.42150459640769367,12.155838097587218,-1.2141819860739966,19
VisualCogA_Task-1.mat,1,B4,0.1,0.3111111111111111,0.021662663408153898,77.5982324080755,-0.5730246166916794,19
VisualCogA_Task-1.mat,2,B1,0.1,0.2857142857142857,0.3749726917934847,18.994009946752662,0.9288573693958992,20
VisualCogA_Task-1.mat,2,B2,0.1,0.59375,-0.1573789298452357,8.787735564583299,2.1879966018569172,12
VisualCogA_Task-1.mat,2,B3,0.1,0.2727272727272727,0.16826143944542912,14.869757199933698,2.326726546369338,17
VisualCogA_Task-1.mat,2,B4,0.5,0.48484848484848486,-0.6683201639633561,35.25444406323456,1.800811844776278,17
VisualCogA_Task-1.mat,3,B1,0.1,0.5454545454545454,0.9338807153173124,19.1741009230729,-0.017070395953594622,20
VisualCogA_Task-1.mat,3,B2,0.3,0.30952380952380953,0.7409407393782994,8.341488549145156,-1.7320853761691308,13
VisualCogA_Task-1.mat,3,B3,0.1,0.5333333333333333,0.9764070622394252,18.313288524342575,0.13020328654014562,19
VisualCogA_Task-1.mat,3,B4,0.3,0.4666666666666667,0.8760335380943899,24.239835966430782,-2.670163226747557,19
VisualCogA_Task-1.mat,4,B1,0.1,0.40404040404040403,0.729308165577833,20.195324060997294,-1.000978090419951,20
VisualCogA_Task-1.mat,4,B2,0.1,0.4074074074074074,0.7256046429456997,14.982208988415518,-0.9271778597034317,15
VisualCogA_Task-1.mat,4,B3,0.1,0.5555555555555556,0.835188632896793,19.4598086353961,-1.190820426063647,19
VisualCogA_Task-1.mat,4,B4,0.1,0.6111111111111112,0.7750066170666096,36.063125994211134,-0.829557168171854,19
VisualCogA_Task-1.mat,5,B1,0.1,0.4835164835164835,0.40614147291159824,17.485040154021643,2.5662341158159814,20
VisualCogA_Task-1.mat,5,B2,0.1,0.9,0.5839155322111789,13.834044319228449,3.1183941350687205,14
VisualCogA_Task-1.mat,5,B3,0.1,0.4725274725274725,0.40608678410438015,17.485055283351656,2.5662341158159814,20
VisualCogA_Task-1.mat,5,B4,0.5,0.32967032967032966,-0.6916577848856302,16.09147166229051,-1.099694224692946,20
VisualCogA_Task-2.mat,1,B1,0.1,0.5151515151515151,0.8772928078122844,27.101875750940195,1.8406951933645932,20
VisualCogA_Task-2.mat,1,B2,0.3,0.32142857142857145,0.9100424862846423,20.420828069106268,-3.072877732114776,11
VisualCogA_Task-2.mat,1,B3,0.1,0.5151515151515151,0.8772928078122844,27.101875750940195,1.8406951933645932,20
VisualCogA_Task-2.mat,1,B4,0.3,0.6161616161616161,0.9568881351725421,24.887176899430344,1.151003041839422,20
VisualCogA_Task-2.mat,2,B1,0.1,0.4,0.7828285728986939,33.031003337650375,-0.20164882329249395,20
VisualCogA_Task-2.mat,2,B2,0.1,0.1,0.7648350879590258,12.648465992479068,-0.037035210428919,9
VisualCogA_Task-2.mat,2,B3,0.1,0.34444444444444444,0.6431056074942115,29.558398571647643,0.3459800146564539,19
VisualCogA_Task-2.mat,2,B4,0.1,0.4888888888888889,0.32120131123175366,54.0604509661473,0.005678093612306081,19
VisualCogA_Task-2.mat,3,B1,0.1,0.5353535353535354,0.4326180375318877,109.44601693726703,-0.4187930864559622,20
VisualCogA_Task-2.mat,3,B2,0.3,0.6666666666666666,0.07900556478785788,17.885547630544586,-1.5546471099939498,6
VisualCogA_Task-2.mat,3,B3,0.1,0.5252525252525253,0.4326180375318877,109.44601693726703,-0.4187930864559622,20
VisualCogA_Task-2.mat,3,B4,0.3,0.36363636363636365,0.42413477142660444,26.26737621584146,0.7811641436910264,20
VisualCogA_Task-2.mat,4,B1,0.1,0.78,-0.07695499956467321,87.28444102246985,0.9659468531727466,20
VisualCogA_Task-2.mat,4,B2,0.3,0.6785714285714286,0.7227437125387411,20.63429893051639,-3.2776102685368733,11
VisualCogA_Task-2.mat,4,B3,0.1,0.77,-0.07698961143608758,87.28418634045495,0.9659468531727466,20
VisualCogA_Task-2.mat,4,B4,0.3,0.82,-0.4202699592632649,64.73863487154173,0.3595442490552438,20
VisualCogA_Task-2.mat,5,B1,0.1,0.64,0.7089258045655663,79.9362379013895,-0.8667502363321498,20
VisualCogA_Task-2.mat,5,B2,0.3,0.5,0.4576048823133528,11.875667082304286,0.49795759809539203,6
VisualCogA_Task-2.mat,5,B3,0.1,0.64,0.7089430301618316,79.93468279776482,-0.8668000896382583,20
VisualCogA_Task-2.mat,5,B4,0.3,0.76,0.6346832063968334,29.589990239646305,0.9367847475834149,20
VisualCogB_Task-1.mat,1,B1,0.5,0.6363636363636364,0.46287404738692073,11.362768580549535,1.1392351093187976,20
VisualCogB_Task-1.mat,1,B2,0.1,0.425,0.7809427299048178,12.208509499970905,2.2411382009838547,13
VisualCogB_Task-1.mat,1,B3,0.5,0.6363636363636364,0.46286084154686136,11.362394165068999,1.1392351093187976,20
VisualCogB_Task-1.mat,1,B4,0.1,0.7171717171717171,-0.4144073057489798,27.092319708624025,1.2429973594534305,20
VisualCogB_Task-1.mat,2,B1,0.5,0.5384615384615384,-0.18431652088822995,83.44539224446302,-1.4463082773580167,20
VisualCogB_Task-1.mat,2,B2,0.3,0.6666666666666666,-0.166660245206224,8.22327291993871,-1.0081006947018467,7
VisualCogB_Task-1.mat,2,B3,0.5,0.5274725274725275,-0.18419938760342733,83.44014465958679,-1.4459205317300807,20
VisualCogB_Task-1.mat,2,B4,0.5,0.21978021978021978,-0.3274817663441265,48.70580314540062,0.14419660181153307,20
VisualCogB_Task-1.mat,3,B1,0.5,0.6263736263736264,-0.05449073129264058,24.164770413707245,-0.7388052965354862,20
VisualCogB_Task-1.mat,3,B2,0.3,0.5,-0.22605290501313488,10.48688425087241,-0.9266032880293,8
VisualCogB_Task-1.mat,3,B3,0.5,0.3956043956043956,-0.05449073129264058,24.164770413707245,-0.7388052965354862,20
VisualCogB_Task-1.mat,3,B4,0.1,0.5604395604395604,-0.7745871207249785,34.6105734588482,0.05868996352574012,20
VisualCogB_Task-1.mat,4,B1,0.5,0.5604395604395604,0.1384667779162883,15.03554398739477,-1.8569093564644776,20
VisualCogB_Task-1.mat,4,B2,0.1,0.6111111111111112,-0.08765032205859888,12.634419183803786,0.7383902391282147,9
VisualCogB_Task-1.mat,4,B3,0.5,0.5054945054945055,0.13833564520904748,15.035339213657075,-1.8569093564644776,20
VisualCogB_Task-1.mat,4,B4,0.1,0.45054945054945056,-0.3422501113805518,36.750491794279014,0.39525164814135416,20
VisualCogB_Task-1.mat,5,B1,0.5,0.72,0.0847376874905887,87.49292028495786,1.2537128683208316,20
VisualCogB_Task-1.mat,5,B2,0.3,0.7083333333333334,0.40780229070218077,14.129330859332995,-1.1116988260726826,14
VisualCogB_Task-1.mat,5,B3,0.5,0.6888888888888889,-0.08713275178348984,15.910080668174958,0.833009744463547,19
VisualCogB_Task-1.mat,5,B4,0.5,0.3888888888888889,0.6434412710965381,18.53168108138328,-0.6262103947269475,19
VisualCogB_Task-2.mat,1,B1,0.5,0.5494505494505495,0.15398524884490977,108.5702351720306,-2.296865951922915,20
