file,subject,task,channel,n_samples,sat_negative,sat_positive,plateau_samples,max_plateau_samples,transient_samples,cross_channel_samples,bad_fraction,usable_trials
VisualCogA_Task-1.mat,A,1,Fz,223845,0,0,3,3,186,21047,0.09480667426120754,67
VisualCogA_Task-1.mat,A,1,F3,223845,0,4573,4560,395,557,107463,0.4955035850700261,67
VisualCogA_Task-1.mat,A,1,F4,223845,0,6711,6693,478,229,41215,0.2019611784940472,67
VisualCogA_Task-2.mat,A,2,Fz,230157,0,0,15,3,110,6757,0.02984918990080684,43
VisualCogA_Task-2.mat,A,2,F3,230157,452,2825,3202,349,447,8180,0.040472373206115825,43
VisualCogA_Task-2.mat,A,2,F4,230157,410,963,1288,213,270,114418,0.49981534343947825,43
VisualCogB_Task-1.mat,B,1,Fz,223005,610,3135,3638,523,262,14495,0.07885473419878478,51
VisualCogB_Task-1.mat,B,1,F3,223005,0,2246,2219,312,741,81980,0.3760005381045268,51
VisualCogB_Task-1.mat,B,1,F4,223005,0,2921,2902,298,295,67458,0.3097150288110132,51
VisualCogB_Task-2.mat,B,2,Fz,228330,113,237,331,143,64,25009,0.11075636140673586,40
VisualCogB_Task-2.mat,B,2,F3,228330,484,2809,3241,301,269,12199,0.06727543467787851,40
VisualCogB_Task-2.mat,B,2,F4,228330,678,5158,5755,312,187,59505,0.27342880917969603,40
