file,outer_fold,method,highpass
VisualCogA_Task-1.mat,1,B1,0.1
VisualCogA_Task-1.mat,2,B2,0.1
VisualCogA_Task-1.mat,3,B1,0.1
VisualCogA_Task-1.mat,4,B2,0.1
VisualCogA_Task-1.mat,5,B1,0.1
VisualCogA_Task-2.mat,1,B2,0.3
VisualCogA_Task-2.mat,2,B1,0.1
VisualCogA_Task-2.mat,3,B1,0.1
VisualCogA_Task-2.mat,4,B4,0.3
VisualCogA_Task-2.mat,5,B2,0.3
VisualCogB_Task-1.mat,1,B1,0.5
VisualCogB_Task-1.mat,2,B2,0.3
VisualCogB_Task-1.mat,3,B2,0.3
VisualCogB_Task-1.mat,4,B2,0.1
VisualCogB_Task-1.mat,5,B2,0.3
VisualCogB_Task-2.mat,1,B1,0.5
VisualCogB_Task-2.mat,2,B2,0.1
VisualCogB_Task-2.mat,3,B2,0.1
VisualCogB_Task-2.mat,4,B2,0.1
VisualCogB_Task-2.mat,5,B4,0.5
