file,subject,task,trial_index,t_cue_on,cue_dur,t_tgt_on,cue2tgt_gap,t_resp,RT,side_cue,side_tgt,side_resp,congruent,bad_frac_Fz,bad_frac_F3,bad_frac_F4,n_sat,warmup_flag,side_conflict_flag
VisualCogA_Task-1.mat,A,1,1,5162,52,5758,544,6256,1.9453125,-1,-1,-1,True,0.0026041666666666665,0.8541666666666666,0.0026041666666666665,0.0,True,False
VisualCogA_Task-1.mat,A,1,2,7538,52,8105,515,8407,1.1796875,1,1,1,True,0.0,0.6901041666666666,0.625,0.0,False,False
VisualCogA_Task-1.mat,A,1,3,9690,53,10258,515,10567,1.20703125,-1,-1,-1,True,0.2734375,0.20052083333333334,0.3046875,106.0,False,False
VisualCogA_Task-1.mat,A,1,4,11851,52,12418,515,12771,1.37890625,-1,-1,-1,True,0.0,0.5260416666666666,1.0,0.0,False,False
VisualCogA_Task-1.mat,A,1,5,14055,52,14623,516,14932,1.20703125,1,1,1,True,0.0,0.4036458333333333,1.0,0.0,False,False
VisualCogA_Task-1.mat,A,1,6,16216,52,16783,515,17086,1.18359375,-1,-1,-1,True,0.28125,0.5286458333333334,0.3177083333333333,0.0,False,False
VisualCogA_Task-1.mat,A,1,7,18368,52,18936,516,19306,1.4453125,-1,-1,-1,True,0.0,0.28125,0.0,0.0,False,False
VisualCogA_Task-1.mat,A,1,8,20589,52,21156,515,21421,1.03515625,-1,-1,-1,True,0.0,0.033854166666666664,1.0,0.0,False,False
VisualCogA_Task-1.mat,A,1,9,22705,52,23272,515,23572,1.171875,1,1,1,True,0.0,0.005208333333333333,0.0,0.0,False,False
VisualCogA_Task-1.mat,A,1,10,24854,52,25421,515,25817,1.546875,1,1,1,True,0.0,0.0,0.013020833333333334,0.0,False,False
VisualCogA_Task-1.mat,A,1,11,27102,52,27669,515,27970,1.17578125,1,1,1,True,0.4505208333333333,1.0,0.0,0.0,False,False
VisualCogA_Task-1.mat,A,1,12,29254,53,29822,515,30096,1.0703125,1,1,1,True,0.0,0.0,0.890625,0.0,False,False
VisualCogA_Task-1.mat,A,1,13,31379,52,31946,515,32238,1.140625,-1,-1,-1,True,0.0,1.0,0.0,0.0,False,False
VisualCogA_Task-1.mat,A,1,14,33520,52,34087,515,34391,1.1875,-1,-1,-1,True,0.984375,0.0,1.0,372.0,False,False
VisualCogA_Task-1.mat,A,1,15,35676,52,36243,515,36507,1.03125,1,1,1,True,0.0,0.06510416666666667,0.7083333333333334,0.0,False,False
VisualCogA_Task-1.mat,A,1,16,37789,52,38356,515,38614,1.0078125,-1,-1,-1,True,0.0,0.0,0.18489583333333334,0.0,False,False
VisualCogA_Task-1.mat,A,1,17,39897,52,40465,516,40824,1.40234375,1,1,1,True,0.0,0.0,0.2630208333333333,0.0,False,False
VisualCogA_Task-1.mat,A,1,18,42110,52,42677,515,42997,1.25,-1,-1,-1,True,0.0,0.5859375,0.0,0.0,False,False
VisualCogA_Task-1.mat,A,1,19,44282,52,44849,515,45160,1.21484375,-1,-1,-1,True,0.0,0.22916666666666666,0.0,0.0,False,False
VisualCogA_Task-1.mat,A,1,20,46443,52,47010,515,47295,1.11328125,1,1,1,True,0.6640625,0.0859375,1.0,199.0,False,False
VisualCogA_Task-1.mat,A,1,21,48579,52,49147,516,49392,0.95703125,-1,-1,-1,True,0.0,0.046875,0.5026041666666666,0.0,False,False
VisualCogA_Task-1.mat,A,1,22,50676,52,51243,515,51571,1.28125,-1,-1,-1,True,0.5234375,0.0,1.0,6.0,False,False
