scheme,alpha,size,family,parameter,balanced_accuracy,accuracy,auc,score_std
erp,0.0,8,logistic,0.01,0.5412009803921569,0.5395156711333182,0.5528221288515407,0.02588663483965809
erp,0.0,8,logistic,0.1,0.5674019607843137,0.566669032477856,0.562123599439776,0.04402700383302139
erp,0.0,8,logistic,1.0,0.5310924369747899,0.5293791165114694,0.5310092787114845,0.05810700163757087
erp,0.0,8,logistic,10.0,0.5264600840336134,0.5257111628435158,0.5142598914565826,0.0737473174225675
erp,0.0,8,svm,0.01,0.5674019607843137,0.566669032477856,0.561860119047619,0.04402700383302139
erp,0.0,8,svm,0.1,0.5456757703081233,0.5436648307971838,0.5329057247899159,0.08200110983085335
erp,0.0,8,svm,1.0,0.5264600840336134,0.5257111628435158,0.5177131477591036,0.0737473174225675
erp,0.0,8,svm,10.0,0.520577731092437,0.5203057574381104,0.5140077906162465,0.08007306503734113
erp,0.0,8,lda,0.1,0.5561519607843137,0.5540597320009084,0.5431158088235295,0.05857102155941006
erp,0.0,8,lda,0.5,0.5574124649859944,0.5546459800136271,0.5628208158263306,0.04614845871960317
erp,0.0,8,lda,0.9,0.5303186274509804,0.5269063706563706,0.546767331932773,0.028678512999162575
erp,0.0,15,logistic,0.01,0.5382352941176471,0.5395156711333182,0.5650586484593838,0.02544537915342267
erp,0.0,15,logistic,0.1,0.5528081232492997,0.5536438223938224,0.5518229166666666,0.04355286584373316
erp,0.0,15,logistic,1.0,0.5096148459383754,0.5138981944129003,0.5001383053221289,0.10393638363937686
erp,0.0,15,logistic,10.0,0.48206582633053224,0.4888499318646377,0.49438025210084036,0.0897337662237396
erp,0.0,15,svm,0.01,0.5620343137254902,0.5604190324778561,0.554954044117647,0.046234969553900815
erp,0.0,15,svm,0.1,0.5167577030812325,0.5197805473540767,0.502155112044818,0.09129709633506318
erp,0.0,15,svm,1.0,0.47706582633053224,0.48344452645923236,0.49425639005602234,0.09477543666232449
erp,0.0,15,svm,10.0,0.48832633053221286,0.49473228480581427,0.4908735994397759,0.07898248409057068
erp,0.0,15,lda,0.1,0.5326400560224089,0.5359967635702929,0.5258797268907563,0.08263746101095967
erp,0.0,15,lda,0.5,0.570843837535014,0.5704462866227572,0.5675358893557423,0.026963977447417766
erp,0.0,15,lda,0.9,0.5389600840336135,0.5402509652509653,0.5640038515406163,0.0372227032975559
source,1e-05,6,logistic,0.01,0.48484243697478996,0.48683709970474676,0.503842787114846,0.04730615427432484
source,1e-05,6,logistic,0.1,0.48375,0.4814316942993413,0.49383096988795516,0.047431821910183254
source,1e-05,6,logistic,1.0,0.47707282913165266,0.4754400408812174,0.49648897058823527,0.04585287842949866
source,1e-05,6,logistic,10.0,0.4508228291316527,0.45039177833295485,0.49459558823529415,0.05043068940760766
source,1e-05,6,svm,0.01,0.4887499999999999,0.48731404724051786,0.4955956757703081,0.05659419342758881
source,1e-05,6,svm,0.1,0.47707282913165266,0.4754400408812174,0.5017703956582633,0.04585287842949866
source,1e-05,6,svm,1.0,0.46373949579831936,0.4628917783329548,0.49596769957983194,0.04956728489617992
source,1e-05,6,svm,10.0,0.46373949579831936,0.4628917783329548,0.49596769957983194,0.04956728489617992
source,1e-05,6,lda,0.1,0.485,0.4826921985010221,0.5000792191876751,0.03549921684186855
source,1e-05,6,lda,0.5,0.4812009803921569,0.4810640472405178,0.49651260504201683,0.060765384861026964
source,1e-05,6,lda,0.9,0.49109243697478994,0.49397995684760393,0.5051453081232493,0.04308386671553281
source,1e-05,12,logistic,0.01,0.5081757703081232,0.5086815807404043,0.5054661239495799,0.08278074969061992
source,1e-05,12,logistic,0.1,0.4707247899159664,0.46756188962071316,0.4880094537815126,0.06728716760779632
source,1e-05,12,logistic,1.0,0.4544747899159664,0.45538127413127416,0.47429227941176466,0.06517020369148371
source,1e-05,12,logistic,10.0,0.46072478991596644,0.46163127413127414,0.48184523809523816,0.06073677310124817
source,1e-05,12,svm,0.01,0.48405812324929975,0.48011015216897573,0.4853987219887955,0.06923538159594195
source,1e-05,12,svm,0.1,0.44859243697478995,0.4499758687258687,0.47501137955182077,0.05999411107082598
source,1e-05,12,svm,1.0,0.46072478991596644,0.46163127413127414,0.4822986694677871,0.06073677310124817
source,1e-05,12,svm,10.0,0.46072478991596644,0.46163127413127414,0.48575148809523816,0.06073677310124817
source,1e-05,12,lda,0.1,0.4665581232492997,0.46666903247785607,0.47620448179271707,0.07119667819712043
source,1e-05,12,lda,0.5,0.48364145658263313,0.4813706563706564,0.4879564950980392,0.06619756085016486
source,1e-05,12,lda,0.9,0.521985294117647,0.5213391437656144,0.509984681372549,0.10158491771191211
combined,1e-05,8,logistic,0.01,0.4980252100840336,0.49040852827617537,0.5217712710084033,0.10896835826629261
combined,1e-05,8,logistic,0.1,0.4679971988795518,0.4553940495116966,0.5119747899159665,0.1075081308519486
combined,1e-05,8,logistic,1.0,0.4922724089635855,0.4778120031796503,0.5105873599439776,0.07624329226467039
combined,1e-05,8,logistic,10.0,0.470140056022409,0.4531313876902113,0.5063471638655462,0.06978317954702559
combined,1e-05,8,svm,0.01,0.4738795518207283,0.46079945491710195,0.5166719187675071,0.10576011545939829
combined,1e-05,8,svm,0.1,0.4922724089635855,0.4778120031796503,0.5101444327731093,0.07624329226467039
combined,1e-05,8,svm,1.0,0.47602240896358544,0.45938138769021125,0.509671743697479,0.06401356345753932
combined,1e-05,8,svm,10.0,0.47602240896358544,0.45938138769021125,0.5085565476190477,0.06401356345753932
combined,1e-05,8,lda,0.1,0.4852380952380953,0.47156200317965025,0.5134777661064426,0.08634231426935157
combined,1e-05,8,lda,0.5,0.46922619047619046,0.4594779127867363,0.514656862745098,0.10650573927865968
combined,1e-05,8,lda,0.9,0.5042752100840336,0.4970744378832614,0.5265305497198879,0.11807002683579182
combined,1e-05,12,logistic,0.01,0.5197408963585435,0.5140869861458096,0.5294782913165266,0.09203862926534791
combined,1e-05,12,logistic,0.1,0.4876785714285715,0.4761228139904611,0.5157449229691877,0.09400643370247823
combined,1e-05,12,logistic,1.0,0.4872829131652662,0.4707784465137406,0.5166163340336134,0.10260095054556989
combined,1e-05,12,logistic,10.0,0.4929866946778712,0.4814799568476039,0.5084094887955182,0.06947221402182828
combined,1e-05,12,svm,0.01,0.4876785714285715,0.4761228139904611,0.5190200455182072,0.09400643370247823
combined,1e-05,12,svm,0.1,0.485140056022409,0.4703014989779696,0.5226059173669467,0.0876900512536564
combined,1e-05,12,svm,1.0,0.485843837535014,0.4755976039064274,0.5076339285714285,0.06066912528454153
combined,1e-05,12,svm,10.0,0.4837009803921569,0.4755976039064274,0.5049085259103642,0.0586219995498172
combined,1e-05,12,lda,0.1,0.4889880952380953,0.4748623097887804,0.523295693277311,0.10025685480339064
combined,1e-05,12,lda,0.5,0.4867261904761905,0.47738331819214175,0.5154477415966386,0.09349244726378847
combined,1e-05,12,lda,0.9,0.5338480392156864,0.5325176016352486,0.5274557948179271,0.10479297011234734
combined,1e-05,15,logistic,0.01,0.49922619047619043,0.49246536452418804,0.526969537815126,0.07479005775986104
combined,1e-05,15,logistic,0.1,0.48934523809523806,0.4769674085850556,0.5227148984593837,0.08144469538070835
combined,1e-05,15,logistic,1.0,0.49180672268907566,0.4765514989779696,0.5178483893557424,0.08118377666178486
combined,1e-05,15,logistic,10.0,0.47411764705882353,0.4643098455598455,0.5075827205882353,0.04862891178723742
combined,1e-05,15,svm,0.01,0.4876785714285715,0.4765997615262322,0.5282015931372549,0.09838786389759863
combined,1e-05,15,svm,0.1,0.49180672268907566,0.4765514989779696,0.5203361344537816,0.08118377666178486
combined,1e-05,15,svm,1.0,0.4803676470588235,0.47145270270270273,0.509812237394958,0.05592187177646569
combined,1e-05,15,svm,10.0,0.4752976190476191,0.47140444015444016,0.4987749474789916,0.039708379415253965
combined,1e-05,15,lda,0.1,0.47222338935574226,0.4578014989779696,0.5247627801120449,0.1027449852196939
combined,1e-05,15,lda,0.5,0.4960119047619047,0.4837426186690893,0.5179770658263305,0.10560372137704993
combined,1e-05,15,lda,0.9,0.505514705882353,0.5032761753349988,0.5291128326330533,0.08139127988412807
source,0.001,6,logistic,0.01,0.4907247899159664,0.49224250511015216,0.5035766806722689,0.05556923789822961
