scheme,alpha,size,family,parameter,balanced_accuracy,accuracy,auc,score_std
erp,0.0,8,logistic,0.01,0.4404455266955267,0.447315753887762,0.4724292929292929,0.08490818331210478
erp,0.0,8,logistic,0.1,0.4931475468975469,0.49875591615956727,0.49238455988455987,0.07967395508704282
erp,0.0,8,logistic,1.0,0.5044570707070707,0.5029344151453685,0.4862005772005772,0.11225869082479707
erp,0.0,8,logistic,10.0,0.49625901875901873,0.4980662609871535,0.4953344155844156,0.11052840436196962
erp,0.0,8,svm,0.01,0.48334956709956706,0.48643678160919546,0.49013636363636365,0.08321871050470661
erp,0.0,8,svm,0.1,0.5044570707070707,0.5029344151453685,0.48711291486291486,0.11225869082479707
erp,0.0,8,svm,1.0,0.5080645743145743,0.5098309668695065,0.49811219336219337,0.11139534146532412
erp,0.0,8,svm,10.0,0.5115999278499278,0.5108451656524678,0.5001042568542569,0.10868425563108065
erp,0.0,8,lda,0.1,0.4909253246753247,0.49218390804597706,0.49102597402597403,0.1071182851151785
erp,0.0,8,lda,0.5,0.48134199134199135,0.4869912102772143,0.48531168831168825,0.10075176457720345
erp,0.0,8,lda,0.9,0.4307990620490621,0.4394050033806626,0.4625992063492063,0.1004825540984566
erp,0.0,15,logistic,0.01,0.4470995670995671,0.4463015551048006,0.4550270562770563,0.043423147943748484
erp,0.0,15,logistic,0.1,0.48529040404040397,0.486761325219743,0.48381529581529586,0.0744008083037229
erp,0.0,15,logistic,1.0,0.46639430014430017,0.465841784989858,0.5036930014430014,0.10597273192955366
erp,0.0,15,logistic,10.0,0.4857593795093795,0.48551724137931035,0.5275790043290043,0.10377600239019565
erp,0.0,15,svm,0.01,0.4831475468975469,0.486761325219743,0.4828769841269841,0.07492373872427187
erp,0.0,15,svm,0.1,0.4838943001443002,0.4834888438133874,0.505018759018759,0.12100528706030834
erp,0.0,15,svm,1.0,0.49798160173160166,0.49908045977011495,0.5304101731601732,0.10327161494367335
erp,0.0,15,svm,10.0,0.49194985569985566,0.4919540229885057,0.537252886002886,0.13743262905312548
erp,0.0,15,lda,0.1,0.48042929292929293,0.4788505747126437,0.5003181818181818,0.08752031262470636
erp,0.0,15,lda,0.5,0.4753697691197691,0.4793103448275862,0.4681569264069264,0.06588078767340182
erp,0.0,15,lda,0.9,0.4432990620490621,0.44992562542258285,0.4462936507936508,0.08594526382120761
source,1e-05,6,logistic,0.01,0.5225631313131313,0.5252332657200812,0.6030645743145743,0.0890522121790369
source,1e-05,6,logistic,0.1,0.5442929292929293,0.5452332657200811,0.6159632034632034,0.08995564835831114
source,1e-05,6,logistic,1.0,0.5517965367965367,0.5531440162271805,0.6186269841269841,0.1198060757671548
source,1e-05,6,logistic,10.0,0.537987012987013,0.5405949966193374,0.6153823953823954,0.12569190742775724
source,1e-05,6,svm,0.01,0.5352020202020202,0.5383367139959432,0.6157489177489177,0.0725595182270268
source,1e-05,6,svm,0.1,0.5517965367965367,0.5531440162271805,0.6196370851370852,0.1198060757671548
source,1e-05,6,svm,1.0,0.537987012987013,0.5405949966193374,0.6165869408369409,0.12569190742775724
source,1e-05,6,svm,10.0,0.537987012987013,0.5405949966193374,0.6175970418470419,0.12569190742775724
source,1e-05,6,lda,0.1,0.5304834054834056,0.5326842461122381,0.6238831168831169,0.09295251613286212
source,1e-05,6,lda,0.5,0.5286742424242424,0.5318999323867478,0.6068387445887445,0.0774069246760738
source,1e-05,6,lda,0.9,0.5300667388167388,0.5331440162271806,0.5925833333333334,0.09846653267186618
source,1e-05,12,logistic,0.01,0.5232575757575757,0.5242190669371197,0.5798228715728716,0.09708366093577107
source,1e-05,12,logistic,0.1,0.5664393939393939,0.563894523326572,0.6220959595959596,0.07668853492963673
source,1e-05,12,logistic,1.0,0.5923989898989899,0.5841244083840433,0.6318134920634921,0.09345073907470616
source,1e-05,12,logistic,10.0,0.5923989898989899,0.5841244083840433,0.6303131313131314,0.09345073907470616
source,1e-05,12,svm,0.01,0.5608838383838384,0.5580121703853955,0.6225959595959596,0.07552723821831721
source,1e-05,12,svm,0.1,0.5923989898989899,0.5841244083840433,0.6325277777777778,0.09345073907470616
source,1e-05,12,svm,1.0,0.5923989898989899,0.5841244083840433,0.6252824675324675,0.09345073907470616
source,1e-05,12,svm,10.0,0.5923989898989899,0.5841244083840433,0.6245147907647908,0.09345073907470616
source,1e-05,12,lda,0.1,0.5853156565656565,0.5766734279918865,0.6365681818181818,0.07947452044080534
source,1e-05,12,lda,0.5,0.5506818181818182,0.5503313049357674,0.6076803751803752,0.06881391900207132
source,1e-05,12,lda,0.9,0.5245670995670996,0.5260175794455714,0.5689058441558441,0.07948323554113089
combined,1e-05,8,logistic,0.01,0.5487968975468975,0.548762677484787,0.5681179653679653,0.1309666337290968
combined,1e-05,8,logistic,0.1,0.5480465367965368,0.55079107505071,0.5888008658008658,0.11565548535553402
combined,1e-05,8,logistic,1.0,0.5821338383838384,0.5815415821501014,0.5969632034632035,0.07040358639151902
combined,1e-05,8,logistic,10.0,0.58372113997114,0.58052738336714,0.5994137806637807,0.08399912330409631
combined,1e-05,8,svm,0.01,0.5480465367965368,0.55079107505071,0.5830941558441558,0.11565548535553402
combined,1e-05,8,svm,0.1,0.5821338383838384,0.5815415821501014,0.5949430014430014,0.07040358639151902
combined,1e-05,8,svm,1.0,0.5801857864357864,0.58052738336714,0.5956691919191919,0.06763284887180869
combined,1e-05,8,svm,10.0,0.5823286435786436,0.58052738336714,0.5994350649350648,0.070912369195343
combined,1e-05,8,lda,0.1,0.5814393939393939,0.5825557809330629,0.5992950937950938,0.0900943782380624
combined,1e-05,8,lda,0.5,0.5485227272727273,0.5489925625422583,0.5786471861471861,0.13388840010255648
combined,1e-05,8,lda,0.9,0.5508170995670996,0.555659229208925,0.5616139971139971,0.10684837097754796
combined,1e-05,12,logistic,0.01,0.5593524531024532,0.5615415821501014,0.5546461038961039,0.12849668735229156
combined,1e-05,12,logistic,0.1,0.5636616161616161,0.5620960108181203,0.5876969696969697,0.09462397860375234
