task,direction,channel,waveform_correlation,waveform_rmse
1,-1,F3,-0.6703053436022203,42.331035758830275
1,-1,Fz,0.40345305866823383,8.250018302239193
1,-1,F4,-0.6030078585817958,56.388266269620836
1,1,F3,0.08817882600844287,21.8904317421384
1,1,Fz,0.345465288535438,27.19569141544365
1,1,F4,0.15613659312816702,19.45499086800331
2,-1,F3,0.3897919239240993,77.72111706634803
2,-1,Fz,0.9596974457190305,27.095997366303987
2,-1,F4,0.8868857923784499,63.054993880502145
2,1,F3,0.9865552411682321,39.26093622752963
2,1,Fz,0.9972783333648871,6.63530027506525
2,1,F4,0.9974603492733041,10.277679394825348
