mode,fold,group,scheme,chosen,inner_balanced_accuracy,alpha,size,family,parameter,n,accuracy,balanced_accuracy,macro_f1,auc,left_recall,right_recall,left_left,left_right,right_left,right_right
cross,cross_A_to_B,A,erp,False,0.570843837535014,1e-05,15,lda,0.5,156,0.5064102564102564,0.5054320987654322,0.5054144192366287,0.5295473251028806,0.48,0.5308641975308642,36,39,38,43
cross,cross_A_to_B,A,source,False,0.5994432773109244,0.3,12,svm,0.1,156,0.5,0.500246913580247,0.49991780371527206,0.482798353909465,0.5066666666666667,0.49382716049382713,38,37,41,40
cross,cross_A_to_B,A,combined,True,0.6252275910364146,0.3,8,logistic,10.0,156,0.48717948717948717,0.48641975308641977,0.48641975308641977,0.47028806584362143,0.4666666666666667,0.5061728395061729,35,40,40,41
cross,cross_B_to_A,B,erp,False,0.5115999278499278,1e-05,8,svm,10.0,163,0.5030674846625767,0.5050865472213787,0.5027680488080443,0.5768296386273915,0.48314606741573035,0.527027027027027,43,46,35,39
cross,cross_B_to_A,B,source,True,0.5985984848484849,0.001,12,svm,0.1,163,0.50920245398773,0.516398420892803,0.5087402049427366,0.4993926510780443,0.43820224719101125,0.5945945945945946,39,50,30,44
cross,cross_B_to_A,B,combined,False,0.590523088023088,1e-05,15,svm,10.0,163,0.4662576687116564,0.4759337989675068,0.4642411878046016,0.4992408138475555,0.3707865168539326,0.581081081081081,33,56,31,43
within,within_A_block0,A,erp,False,0.5792947860962567,1e-05,8,lda,0.9,34,0.5,0.5,0.49607672188317353,0.5464285714285715,0.5,0.5,10,10,7,7
within,within_A_block0,A,source,False,0.5684798351158645,1e-05,6,lda,0.5,34,0.5882352941176471,0.575,0.575,0.5428571428571428,0.65,0.5,13,7,7,7
within,within_A_block0,A,combined,True,0.5916750222816399,1e-05,15,lda,0.5,34,0.5882352941176471,0.6071428571428572,0.5882352941176471,0.5678571428571428,0.5,0.7142857142857143,10,10,4,10
within,within_A_block1,A,erp,True,0.5881436127082412,1e-05,15,lda,0.5,28,0.5714285714285714,0.5833333333333333,0.5714285714285714,0.546875,0.5,0.6666666666666666,8,8,4,8
within,within_A_block1,A,source,False,0.5682747770160697,0.3,12,logistic,0.01,28,0.5714285714285714,0.5833333333333333,0.5714285714285714,0.6145833333333334,0.5,0.6666666666666666,8,8,4,8
within,within_A_block1,A,combined,False,0.5804799222320507,0.3,12,logistic,1.0,28,0.5714285714285714,0.5833333333333333,0.5714285714285714,0.609375,0.5,0.6666666666666666,8,8,4,8
within,within_A_block2,A,erp,False,0.5405812324929972,1e-05,15,lda,0.9,32,0.53125,0.5392156862745098,0.5270935960591133,0.5333333333333333,0.4117647058823529,0.6666666666666666,7,10,5,10
within,within_A_block2,A,source,True,0.626593137254902,0.001,12,lda,0.9,32,0.46875,0.46862745098039216,0.4682306940371457,0.4392156862745098,0.47058823529411764,0.4666666666666667,8,9,8,7
within,within_A_block2,A,combined,False,0.6224264705882353,0.001,8,logistic,0.01,32,0.40625,0.4019607843137255,0.4009852216748768,0.4901960784313725,0.47058823529411764,0.3333333333333333,8,9,10,5
within,within_A_block3,A,erp,False,0.5352386788048553,1e-05,15,svm,0.01,32,0.53125,0.53125,0.530791788856305,0.52734375,0.5625,0.5,9,7,8,8
within,within_A_block3,A,source,False,0.582358776844071,0.3,12,lda,0.9,32,0.46875,0.46875,0.4682306940371457,0.46875,0.5,0.4375,8,8,9,7
within,within_A_block3,A,combined,True,0.602907621381886,0.3,12,lda,0.9,32,0.5,0.5,0.4980392156862745,0.46875,0.5625,0.4375,9,7,9,7
within,within_A_block4,A,erp,False,0.5682729341736694,1e-05,8,svm,0.01,37,0.5405405405405406,0.5264705882352941,0.518007662835249,0.5852941176470589,0.7,0.35294117647058826,14,6,11,6
within,within_A_block4,A,source,False,0.595093662464986,0.3,12,logistic,1.0,37,0.5945945945945946,0.5897058823529412,0.5898004434589801,0.5823529411764706,0.65,0.5294117647058824,13,7,8,9
within,within_A_block4,A,combined,True,0.6178265056022408,0.3,15,svm,1.0,37,0.5675675675675675,0.5558823529411765,0.5515151515151515,0.4970588235294118,0.7,0.4117647058823529,14,6,10,7
within,within_B_block0,B,erp,False,0.4941919191919192,1e-05,15,logistic,0.01,30,0.43333333333333335,0.43333333333333335,0.43270300333704115,0.4444444444444444,0.4,0.4666666666666667,6,9,8,7
within,within_B_block0,B,source,False,0.5447082431457431,0.3,12,lda,0.9,30,0.4,0.39999999999999997,0.354066985645933,0.49333333333333335,0.13333333333333333,0.6666666666666666,2,13,5,10
within,within_B_block0,B,combined,True,0.561453823953824,0.3,8,lda,0.9,30,0.4666666666666667,0.4666666666666667,0.4444444444444444,0.4666666666666666,0.26666666666666666,0.6666666666666666,4,11,5,10
within,within_B_block1,B,erp,False,0.6042950513538748,1e-05,15,logistic,10.0,29,0.3103448275862069,0.3207070707070707,0.30952380952380953,0.29292929292929293,0.36363636363636365,0.2777777777777778,4,7,13,5
within,within_B_block1,B,source,True,0.6210113211951447,0.3,12,logistic,0.1,29,0.4827586206896552,0.4772727272727273,0.4727272727272727,0.4747474747474747,0.45454545454545453,0.5,5,6,9,9
within,within_B_block1,B,combined,False,0.6130748132586368,0.03,15,svm,0.01,29,0.5862068965517241,0.5782828282828283,0.5735294117647058,0.5505050505050505,0.5454545454545454,0.6111111111111112,6,5,7,11
within,within_B_block2,B,erp,False,0.5283955627705628,1e-05,8,logistic,0.1,29,0.5862068965517241,0.5429292929292929,0.5421052631578948,0.5454545454545454,0.36363636363636365,0.7222222222222222,4,7,5,13
within,within_B_block2,B,source,False,0.5619814213564214,0.3,12,logistic,0.1,29,0.5862068965517241,0.595959595959596,0.5817307692307692,0.5404040404040404,0.6363636363636364,0.5555555555555556,7,4,8,10
within,within_B_block2,B,combined,True,0.5876758658008658,1e-05,15,svm,10.0,29,0.7241379310344828,0.7247474747474747,0.7156862745098038,0.7626262626262628,0.7272727272727273,0.7222222222222222,8,3,5,13
within,within_B_block3,B,erp,False,0.5331996434937611,1e-05,15,svm,10.0,34,0.4411764705882353,0.4714285714285714,0.43679163034001744,0.6214285714285714,0.3,0.6428571428571429,6,14,5,9
within,within_B_block3,B,source,False,0.538287284610814,1e-05,12,svm,1.0,34,0.5588235294117647,0.55,0.5490716180371353,0.6035714285714285,0.6,0.5,12,8,7,7
within,within_B_block3,B,combined,True,0.5463606654783125,1e-05,15,svm,10.0,34,0.6176470588235294,0.6214285714285714,0.6146469049694856,0.6428571428571429,0.6,0.6428571428571429,12,8,5,9
within,within_B_block4,B,erp,False,0.47653318903318903,1e-05,15,logistic,10.0,34,0.5294117647058824,0.53125,0.5294117647058824,0.5590277777777778,0.5,0.5625,9,9,7,9
within,within_B_block4,B,source,False,0.5690656565656566,1e-05,6,logistic,0.01,34,0.5588235294117647,0.5590277777777778,0.5584415584415584,0.6076388888888888,0.5555555555555556,0.5625,10,8,7,9
within,within_B_block4,B,combined,True,0.5976370851370851,1e-05,15,svm,0.01,34,0.5588235294117647,0.5625,0.5584415584415584,0.5763888888888888,0.5,0.625,9,9,6,10
