outer,inner_block,scheme,alpha,size,family,parameter,n,accuracy,balanced_accuracy,macro_f1,auc,left_recall,right_recall,left_left,left_right,right_left,right_right
cross_A_to_B,0,erp,0.0,8,logistic,0.01,34,0.5588235294117647,0.55,0.5490716180371353,0.5535714285714286,0.6,0.5,12,8,7,7
cross_A_to_B,0,erp,0.0,8,logistic,0.1,34,0.5294117647058824,0.525,0.5228070175438597,0.5785714285714286,0.55,0.5,11,9,7,7
cross_A_to_B,0,erp,0.0,8,logistic,1.0,34,0.4411764705882353,0.4392857142857143,0.43679163034001744,0.48571428571428565,0.45,0.42857142857142855,9,11,8,6
cross_A_to_B,0,erp,0.0,8,logistic,10.0,34,0.4411764705882353,0.4392857142857143,0.43679163034001744,0.46071428571428574,0.45,0.42857142857142855,9,11,8,6
cross_A_to_B,0,erp,0.0,8,svm,0.01,34,0.5294117647058824,0.525,0.5228070175438597,0.5785714285714285,0.55,0.5,11,9,7,7
cross_A_to_B,0,erp,0.0,8,svm,0.1,34,0.4411764705882353,0.4392857142857143,0.43679163034001744,0.48571428571428565,0.45,0.42857142857142855,9,11,8,6
cross_A_to_B,0,erp,0.0,8,svm,1.0,34,0.4411764705882353,0.4392857142857143,0.43679163034001744,0.4642857142857143,0.45,0.42857142857142855,9,11,8,6
cross_A_to_B,0,erp,0.0,8,svm,10.0,34,0.4411764705882353,0.4392857142857143,0.43679163034001744,0.45357142857142857,0.45,0.42857142857142855,9,11,8,6
cross_A_to_B,0,erp,0.0,8,lda,0.1,34,0.47058823529411764,0.475,0.46875,0.5249999999999999,0.45,0.5,9,11,7,7
cross_A_to_B,0,erp,0.0,8,lda,0.5,34,0.5588235294117647,0.5607142857142857,0.5553618134263296,0.5928571428571429,0.55,0.5714285714285714,11,9,6,8
cross_A_to_B,0,erp,0.0,8,lda,0.9,34,0.5,0.5,0.49607672188317353,0.5464285714285715,0.5,0.5,10,10,7,7
cross_A_to_B,0,erp,0.0,15,logistic,0.01,34,0.5588235294117647,0.55,0.5490716180371353,0.5785714285714285,0.6,0.5,12,8,7,7
cross_A_to_B,0,erp,0.0,15,logistic,0.1,34,0.5,0.4892857142857143,0.48894783377541995,0.575,0.55,0.42857142857142855,11,9,8,6
cross_A_to_B,0,erp,0.0,15,logistic,1.0,34,0.38235294117647056,0.35714285714285715,0.35501355013550134,0.4285714285714286,0.5,0.21428571428571427,10,10,11,3
cross_A_to_B,0,erp,0.0,15,logistic,10.0,34,0.38235294117647056,0.35714285714285715,0.35501355013550134,0.44285714285714284,0.5,0.21428571428571427,10,10,11,3
cross_A_to_B,0,erp,0.0,15,svm,0.01,34,0.5294117647058824,0.525,0.5228070175438597,0.575,0.55,0.5,11,9,7,7
cross_A_to_B,0,erp,0.0,15,svm,0.1,34,0.4117647058823529,0.39285714285714285,0.39285714285714285,0.43571428571428567,0.5,0.2857142857142857,10,10,10,4
cross_A_to_B,0,erp,0.0,15,svm,1.0,34,0.38235294117647056,0.35714285714285715,0.35501355013550134,0.43214285714285716,0.5,0.21428571428571427,10,10,11,3
cross_A_to_B,0,erp,0.0,15,svm,10.0,34,0.4117647058823529,0.39285714285714285,0.39285714285714285,0.42857142857142855,0.5,0.2857142857142857,10,10,10,4
cross_A_to_B,0,erp,0.0,15,lda,0.1,34,0.4117647058823529,0.39285714285714285,0.39285714285714285,0.4785714285714286,0.5,0.2857142857142857,10,10,10,4
cross_A_to_B,0,erp,0.0,15,lda,0.5,34,0.5882352941176471,0.5857142857142856,0.5824561403508772,0.5928571428571429,0.6,0.5714285714285714,12,8,6,8
cross_A_to_B,0,erp,0.0,15,lda,0.9,34,0.5,0.4892857142857143,0.48894783377541995,0.5714285714285715,0.55,0.42857142857142855,11,9,8,6
cross_A_to_B,0,source,1e-05,6,logistic,0.01,34,0.5588235294117647,0.5392857142857143,0.5392953929539295,0.5321428571428571,0.65,0.42857142857142855,13,7,8,6
cross_A_to_B,0,source,1e-05,6,logistic,0.1,34,0.5588235294117647,0.55,0.5490716180371353,0.5357142857142858,0.6,0.5,12,8,7,7
cross_A_to_B,0,source,1e-05,6,logistic,1.0,34,0.47058823529411764,0.4642857142857143,0.4631578947368421,0.55,0.5,0.42857142857142855,10,10,8,6
