record,group,task,channel,n,baseline_rms,poststimulus_rms,left_fraction
VisualCogA_Task-1,A,1,F3,82,17.45160023207097,128.53934216367495,0.5121951219512195
VisualCogA_Task-1,A,1,Fz,82,8.765224224957258,27.34665950750058,0.5121951219512195
VisualCogA_Task-1,A,1,F4,82,18.33862015295291,144.09568058470344,0.5121951219512195
VisualCogA_Task-2,A,2,F3,81,27.938322860667792,200.15941142142876,0.5802469135802469
VisualCogA_Task-2,A,2,Fz,81,15.172410743363276,112.98727456475523,0.5802469135802469
VisualCogA_Task-2,A,2,F4,81,21.899997939231273,175.80240767393377,0.5802469135802469
VisualCogB_Task-1,B,1,F3,84,19.67017682255389,129.34488564078535,0.4880952380952381
VisualCogB_Task-1,B,1,Fz,84,19.64652979642489,131.64976709896484,0.4880952380952381
VisualCogB_Task-1,B,1,F4,84,20.381946774107135,148.7866552970423,0.4880952380952381
VisualCogB_Task-2,B,2,F3,72,28.629148711057148,221.41992846527586,0.4722222222222222
VisualCogB_Task-2,B,2,Fz,72,17.142424501326442,148.77773925509433,0.4722222222222222
VisualCogB_Task-2,B,2,F4,72,24.13829638262988,225.0925237082967,0.4722222222222222
