mode,scheme,fold,false_positive,true_positive
cross,erp,cross_A_to_B,0.0,0.0
cross,erp,cross_A_to_B,0.013333333333333334,0.0
cross,erp,cross_A_to_B,0.013333333333333334,0.012345679012345678
cross,erp,cross_A_to_B,0.04,0.012345679012345678
cross,erp,cross_A_to_B,0.04,0.037037037037037035
cross,erp,cross_A_to_B,0.08,0.037037037037037035
cross,erp,cross_A_to_B,0.08,0.04938271604938271
cross,erp,cross_A_to_B,0.09333333333333334,0.04938271604938271
cross,erp,cross_A_to_B,0.09333333333333334,0.06172839506172839
cross,erp,cross_A_to_B,0.10666666666666667,0.06172839506172839
cross,erp,cross_A_to_B,0.10666666666666667,0.07407407407407407
cross,erp,cross_A_to_B,0.12,0.07407407407407407
cross,erp,cross_A_to_B,0.12,0.09876543209876543
cross,erp,cross_A_to_B,0.14666666666666667,0.09876543209876543
cross,erp,cross_A_to_B,0.14666666666666667,0.1728395061728395
cross,erp,cross_A_to_B,0.18666666666666668,0.1728395061728395
cross,erp,cross_A_to_B,0.18666666666666668,0.20987654320987653
cross,erp,cross_A_to_B,0.21333333333333335,0.20987654320987653
cross,erp,cross_A_to_B,0.21333333333333335,0.2222222222222222
cross,erp,cross_A_to_B,0.22666666666666666,0.2222222222222222
cross,erp,cross_A_to_B,0.22666666666666666,0.2345679012345679
cross,erp,cross_A_to_B,0.24,0.2345679012345679
cross,erp,cross_A_to_B,0.24,0.24691358024691357
cross,erp,cross_A_to_B,0.25333333333333335,0.24691358024691357
cross,erp,cross_A_to_B,0.25333333333333335,0.25925925925925924
cross,erp,cross_A_to_B,0.26666666666666666,0.25925925925925924
cross,erp,cross_A_to_B,0.26666666666666666,0.2716049382716049
cross,erp,cross_A_to_B,0.28,0.2716049382716049
cross,erp,cross_A_to_B,0.28,0.2839506172839506
cross,erp,cross_A_to_B,0.29333333333333333,0.2839506172839506
cross,erp,cross_A_to_B,0.29333333333333333,0.3333333333333333
cross,erp,cross_A_to_B,0.30666666666666664,0.3333333333333333
cross,erp,cross_A_to_B,0.30666666666666664,0.37037037037037035
cross,erp,cross_A_to_B,0.3466666666666667,0.37037037037037035
cross,erp,cross_A_to_B,0.3466666666666667,0.38271604938271603
cross,erp,cross_A_to_B,0.36,0.38271604938271603
cross,erp,cross_A_to_B,0.36,0.43209876543209874
cross,erp,cross_A_to_B,0.38666666666666666,0.43209876543209874
cross,erp,cross_A_to_B,0.38666666666666666,0.4567901234567901
cross,erp,cross_A_to_B,0.41333333333333333,0.4567901234567901
cross,erp,cross_A_to_B,0.41333333333333333,0.48148148148148145
cross,erp,cross_A_to_B,0.44,0.48148148148148145
cross,erp,cross_A_to_B,0.44,0.49382716049382713
cross,erp,cross_A_to_B,0.4533333333333333,0.49382716049382713
cross,erp,cross_A_to_B,0.4533333333333333,0.5061728395061729
cross,erp,cross_A_to_B,0.4666666666666667,0.5061728395061729
cross,erp,cross_A_to_B,0.4666666666666667,0.5185185185185185
cross,erp,cross_A_to_B,0.48,0.5185185185185185
cross,erp,cross_A_to_B,0.48,0.5308641975308642
cross,erp,cross_A_to_B,0.52,0.5308641975308642
cross,erp,cross_A_to_B,0.52,0.5555555555555556
