mode,fold,split,task,space,n,fisher_trace_ratio,squared_mahalanobis,gaussian_plugin_accuracy,relative_distance,deterministic_template_accuracy,relative_antisymmetric_gain,condition_number,operator_condition,alpha
cross,cross_A_to_B,train,1,scalp,80,0.05079609694457941,0.08167307982574766,0.5568124637372962,,,,,,
cross,cross_A_to_B,train,1,source,80,0.06307367626632168,0.08167307982574758,0.5568124637372962,,,,,,
cross,cross_A_to_B,train,2,scalp,77,0.026853080380922354,0.16431673295833862,0.5803074226021068,,,,,,
cross,cross_A_to_B,train,2,source,77,0.018791161006720115,0.16431673295833873,0.5803074226021068,,,,,,
cross,cross_A_to_B,test,1,scalp,84,0.0642444811919074,0.10716686213468722,0.5650091577223776,,,,,,
cross,cross_A_to_B,test,1,source,84,0.060210456597201804,0.10716686213468714,0.5650091577223776,,,,,,
cross,cross_A_to_B,test,2,scalp,72,0.1704490920574786,0.2637331288384332,0.6013236758667077,,,,,,
cross,cross_A_to_B,test,2,source,72,0.14357707785645307,0.26373312883843264,0.6013236758667075,,,,,,
cross,cross_A_to_B,noise_free_assumption,1,specified_source,2,,,,0.2256552461964333,1.0,0.023207411947902306,43.08968196216248,5.975126014171062,0.3
cross,cross_A_to_B,noise_free_assumption,1,simulated_scalp,2,,,,0.01642997072493096,1.0,0.023207411947902306,43.08968196216248,5.975126014171062,0.3
cross,cross_A_to_B,noise_free_assumption,2,specified_source,2,,,,0.09989652691653592,1.0,0.023207411947902306,43.08968196216248,5.975126014171062,0.3
cross,cross_A_to_B,noise_free_assumption,2,simulated_scalp,2,,,,0.0038230036402052262,1.0,0.023207411947902306,43.08968196216248,5.975126014171062,0.3
cross,cross_B_to_A,train,1,scalp,83,0.03442406113029434,0.07458837832503538,0.5543084749997095,,,,,,
cross,cross_B_to_A,train,1,source,83,0.026349251718009992,0.07458837832503541,0.5543084749997095,,,,,,
cross,cross_B_to_A,train,2,scalp,70,0.0786556733706045,0.1925642600601156,0.5868349407952069,,,,,,
cross,cross_B_to_A,train,2,source,70,0.051612737852308396,0.19256426006011557,0.5868349407952069,,,,,,
cross,cross_B_to_A,test,1,scalp,82,0.046782399259286754,0.10186049844709637,0.5633932282092153,,,,,,
cross,cross_B_to_A,test,1,source,82,0.03587828977234207,0.10186049844709642,0.5633932282092154,,,,,,
cross,cross_B_to_A,test,2,scalp,81,0.0627101155169303,0.1463912990646133,0.5758569050118885,,,,,,
cross,cross_B_to_A,test,2,source,81,0.08492800647822867,0.14639129906461404,0.5758569050118887,,,,,,
cross,cross_B_to_A,noise_free_assumption,1,specified_source,2,,,,0.5867546426513873,1.0,0.23592403962772077,4.238652413624157,4.228891361456057,0.001
cross,cross_B_to_A,noise_free_assumption,1,simulated_scalp,2,,,,0.21859350808267874,1.0,0.23592403962772077,4.238652413624157,4.228891361456057,0.001
cross,cross_B_to_A,noise_free_assumption,2,specified_source,2,,,,0.21539990438722947,1.0,0.23592403962772077,4.238652413624157,4.228891361456057,0.001
cross,cross_B_to_A,noise_free_assumption,2,simulated_scalp,2,,,,0.055841421227124856,1.0,0.23592403962772077,4.238652413624157,4.228891361456057,0.001
within,within_A_block0,train,1,scalp,64,0.04098483349476918,0.10109191264018286,0.5631556250025989,,,,,,
within,within_A_block0,train,1,source,64,0.01294931296157388,0.10109191264018288,0.5631556250025989,,,,,,
within,within_A_block0,train,2,scalp,57,0.05431408260897505,0.328231899594521,0.6127361804096669,,,,,,
