mode,group,scheme,n,accuracy,balanced_accuracy,macro_f1,auc,left_recall,right_recall,left_left,left_right,right_left,right_right,fold_balanced_accuracy_mean,fold_balanced_accuracy_std,folds
cross,all,erp,319,0.5047021943573667,0.5053697875688434,0.5046583850931676,0.553188481865136,0.4817073170731707,0.5290322580645161,79,85,73,82,0.5052593229934055,0.00024434184004968956,2
cross,all,source,319,0.5047021943573667,0.5057238394964595,0.5044635834513136,0.49109550249375467,0.4695121951219512,0.5419354838709678,77,87,71,84,0.508322667236525,0.011420840347092452,2
cross,all,combined,319,0.47648902821316613,0.47828481510621557,0.4751687109009408,0.4847644398455885,0.4146341463414634,0.5419354838709678,68,96,71,84,0.4811767760269633,0.00741468926469436,2
cross,all,selected,319,0.49843260188087773,0.4998033044846577,0.49783549783549785,0.48484035846083284,0.45121951219512196,0.5483870967741935,74,90,70,85,0.5014090869896114,0.0211981192968324,2
cross,A,erp,156,0.5064102564102564,0.5054320987654322,0.5054144192366287,0.5295473251028806,0.48,0.5308641975308642,36,39,38,43,0.5054320987654322,0.0,1
cross,A,source,156,0.5,0.500246913580247,0.49991780371527206,0.482798353909465,0.5066666666666667,0.49382716049382713,38,37,41,40,0.500246913580247,0.0,1
cross,A,combined,156,0.48717948717948717,0.48641975308641977,0.48641975308641977,0.47028806584362143,0.4666666666666667,0.5061728395061729,35,40,40,41,0.48641975308641977,0.0,1
cross,A,selected,156,0.48717948717948717,0.48641975308641977,0.48641975308641977,0.47028806584362143,0.4666666666666667,0.5061728395061729,35,40,40,41,0.48641975308641977,0.0,1
cross,B,erp,163,0.5030674846625767,0.5050865472213787,0.5027680488080443,0.5768296386273915,0.48314606741573035,0.527027027027027,43,46,35,39,0.5050865472213787,0.0,1
cross,B,source,163,0.50920245398773,0.516398420892803,0.5087402049427366,0.4993926510780443,0.43820224719101125,0.5945945945945946,39,50,30,44,0.516398420892803,0.0,1
cross,B,combined,163,0.4662576687116564,0.4759337989675068,0.4642411878046016,0.4992408138475555,0.3707865168539326,0.581081081081081,33,56,31,43,0.4759337989675068,0.0,1
cross,B,selected,163,0.50920245398773,0.516398420892803,0.5087402049427366,0.4993926510780443,0.43820224719101125,0.5945945945945946,39,50,30,44,0.516398420892803,0.0,1
within,all,erp,319,0.49843260188087773,0.49927222659323367,0.49830934968939217,0.5202559404443595,0.4695121951219512,0.5290322580645161,77,87,73,82,0.49799178762414054,0.07479264077537398,10
within,all,source,319,0.5297805642633229,0.5299370574350906,0.5297389731897162,0.5367454269586622,0.524390243902439,0.535483870967742,86,78,72,83,0.5267676767676768,0.06759467059982951,10
within,all,combined,319,0.5579937304075235,0.5586152635719905,0.5579763554350069,0.5632281056361939,0.5365853658536586,0.5806451612903226,88,76,65,90,0.5601944868856634,0.08902352162904824,10
within,all,selected,319,0.554858934169279,0.5555664830841858,0.5548195612862646,0.5443043088447499,0.5304878048780488,0.5806451612903226,87,77,65,90,0.5567601434513199,0.08239753707116514,10
within,A,erp,163,0.5337423312883436,0.5331764348618281,0.5323165206886137,0.5478549544817928,0.5393258426966292,0.527027027027027,48,41,35,39,0.5360539215686274,0.030249556747016997,5
within,A,source,163,0.5398773006134969,0.5376556331612512,0.5373699148533586,0.5295518207282913,0.5617977528089888,0.5135135135135135,50,39,36,38,0.5370833333333334,0.0626528551815404,5
within,A,combined,163,0.5276073619631901,0.5252808988764045,0.5250331125827815,0.5266474089635854,0.550561797752809,0.5,49,40,37,37,0.5296638655462186,0.08179064260060646,5
within,A,selected,163,0.5398773006134969,0.538794412389918,0.5381389550039669,0.5039513305322129,0.550561797752809,0.527027027027027,49,40,35,39,0.5429971988795519,0.05763530802808811,5
within,B,erp,156,0.46153846153846156,0.4587654320987654,0.4571665285832643,0.4926569264069264,0.38666666666666666,0.5308641975308642,29,46,38,43,0.45992965367965366,0.08971907390536113,5
within,B,source,156,0.5192307692307693,0.5177777777777778,0.5176252319109462,0.5439390331890331,0.48,0.5555555555555556,36,39,36,45,0.5164520202020202,0.07803157484008168,5
within,B,combined,156,0.5897435897435898,0.5871604938271605,0.5864125932062967,0.5998088023088023,0.52,0.654320987654321,39,36,28,53,0.5907251082251083,0.09387047108560331,5
within,B,selected,156,0.5705128205128205,0.5681481481481482,0.5675094136632598,0.5846572871572872,0.5066666666666667,0.6296296296296297,38,37,30,51,0.570523088023088,0.10714789507932516,5
