mode,fold,scheme,task,n,accuracy,balanced_accuracy,macro_f1,auc,left_recall,right_recall,left_left,left_right,right_left,right_right
cross,cross_A_to_B,erp,1,84,0.5119047619047619,0.5096426545660805,0.5062365591397849,0.504254112308565,0.4146341463414634,0.6046511627906976,17,24,17,26
cross,cross_A_to_B,erp,2,72,0.5,0.5030959752321982,0.49961389961389957,0.5557275541795665,0.5588235294117647,0.4473684210526316,19,15,21,17
cross,cross_A_to_B,source,1,84,0.47619047619047616,0.4753261486103233,0.475,0.45377197958026094,0.43902439024390244,0.5116279069767442,18,23,21,22
cross,cross_A_to_B,source,2,72,0.5277777777777778,0.5309597523219814,0.5274131274131274,0.5294117647058824,0.5882352941176471,0.47368421052631576,20,14,20,18
cross,cross_A_to_B,combined,1,84,0.4523809523809524,0.4509359047078843,0.44957264957264953,0.45320476460578557,0.3902439024390244,0.5116279069767442,16,25,21,22
cross,cross_A_to_B,combined,2,72,0.5277777777777778,0.5294117647058824,0.5277777777777778,0.4907120743034056,0.5588235294117647,0.5,19,15,19,19
cross,cross_B_to_A,erp,1,82,0.45121951219512196,0.4523809523809524,0.4504839910647803,0.5178571428571429,0.40476190476190477,0.5,17,25,20,20
cross,cross_B_to_A,erp,2,81,0.5555555555555556,0.5560075093867334,0.5522113022113022,0.60450563204005,0.5531914893617021,0.5588235294117647,26,21,15,19
cross,cross_B_to_A,source,1,82,0.5609756097560976,0.5660714285714286,0.5435992578849722,0.5226190476190476,0.35714285714285715,0.775,15,27,9,31
cross,cross_B_to_A,source,2,81,0.4567901234567901,0.4464956195244055,0.446583850931677,0.44868585732165206,0.5106382978723404,0.38235294117647056,24,23,21,13
cross,cross_B_to_A,combined,1,82,0.47560975609756095,0.48333333333333334,0.4218724381046073,0.5261904761904762,0.16666666666666666,0.8,7,35,8,32
cross,cross_B_to_A,combined,2,81,0.4567901234567901,0.43836045056320405,0.4375,0.4267834793491865,0.5531914893617021,0.3235294117647059,26,21,23,11
within,within_A_block0,erp,1,15,0.5333333333333333,0.5555555555555556,0.5333333333333333,0.537037037037037,0.4444444444444444,0.6666666666666666,4,5,2,4
within,within_A_block0,erp,2,19,0.47368421052631576,0.4602272727272727,0.4602272727272727,0.5340909090909092,0.5454545454545454,0.375,6,5,5,3
within,within_A_block0,source,1,15,0.5333333333333333,0.5277777777777778,0.5248868778280543,0.40740740740740744,0.5555555555555556,0.5,5,4,3,3
within,within_A_block0,source,2,19,0.631578947368421,0.6136363636363636,0.6144927536231883,0.6704545454545454,0.7272727272727273,0.5,8,3,4,4
within,within_A_block0,combined,1,15,0.4,0.4444444444444444,0.3891402714932127,0.2777777777777778,0.2222222222222222,0.6666666666666666,2,7,2,4
within,within_A_block0,combined,2,19,0.7368421052631579,0.7386363636363636,0.7338935574229692,0.7613636363636364,0.7272727272727273,0.75,8,3,2,6
within,within_A_block1,erp,1,15,0.5333333333333333,0.55,0.5248868778280543,0.5800000000000001,0.5,0.6,5,5,2,3
within,within_A_block1,erp,2,13,0.6153846153846154,0.6071428571428572,0.606060606060606,0.5,0.5,0.7142857142857143,3,3,2,5
within,within_A_block1,source,1,15,0.6,0.6,0.5833333333333333,0.68,0.6,0.6,6,4,2,3
within,within_A_block1,source,2,13,0.5384615384615384,0.5238095238095238,0.5125,0.5476190476190477,0.3333333333333333,0.7142857142857143,2,4,2,5
within,within_A_block1,combined,1,15,0.5333333333333333,0.55,0.5248868778280543,0.6000000000000001,0.5,0.6,5,5,2,3
within,within_A_block1,combined,2,13,0.6153846153846154,0.6071428571428572,0.606060606060606,0.6190476190476191,0.5,0.7142857142857143,3,3,2,5
within,within_A_block2,erp,1,17,0.5294117647058824,0.5347222222222222,0.5277777777777778,0.5833333333333334,0.4444444444444444,0.625,4,5,3,5
within,within_A_block2,erp,2,15,0.5333333333333333,0.5446428571428572,0.5248868778280543,0.4821428571428571,0.375,0.7142857142857143,3,5,2,5
within,within_A_block2,source,1,17,0.47058823529411764,0.4652777777777778,0.4631578947368421,0.5138888888888888,0.5555555555555556,0.375,5,4,5,3
within,within_A_block2,source,2,15,0.4666666666666667,0.4732142857142857,0.4642857142857143,0.3571428571428571,0.375,0.5714285714285714,3,5,3,4
within,within_A_block2,combined,1,17,0.35294117647058826,0.3472222222222222,0.343859649122807,0.48611111111111116,0.4444444444444444,0.25,4,5,6,2
within,within_A_block2,combined,2,15,0.4666666666666667,0.4642857142857143,0.4642857142857143,0.42857142857142855,0.5,0.42857142857142855,4,4,4,3
within,within_A_block3,erp,1,17,0.5882352941176471,0.5972222222222222,0.5824561403508772,0.5555555555555556,0.75,0.4444444444444444,6,2,5,4
within,within_A_block3,erp,2,15,0.4666666666666667,0.4732142857142857,0.4642857142857143,0.48214285714285715,0.375,0.5714285714285714,3,5,3,4
within,within_A_block3,source,1,17,0.4117647058823529,0.4097222222222222,0.4097222222222222,0.4861111111111111,0.375,0.4444444444444444,3,5,5,4
within,within_A_block3,source,2,15,0.5333333333333333,0.5267857142857143,0.5248868778280543,0.4821428571428571,0.625,0.42857142857142855,5,3,4,3
within,within_A_block3,combined,1,17,0.47058823529411764,0.4722222222222222,0.47058823529411764,0.4861111111111111,0.5,0.4444444444444444,4,4,5,4
within,within_A_block3,combined,2,15,0.5333333333333333,0.5267857142857143,0.5248868778280543,0.4821428571428571,0.625,0.42857142857142855,5,3,4,3
within,within_A_block4,erp,1,18,0.5555555555555556,0.625,0.5555555555555556,0.638888888888889,0.8333333333333334,0.4166666666666667,5,1,7,5
within,within_A_block4,erp,2,19,0.5263157894736842,0.4214285714285715,0.4242424242424242,0.4285714285714286,0.6428571428571429,0.2,9,5,4,1
within,within_A_block4,source,1,18,0.4444444444444444,0.45833333333333337,0.4375,0.4861111111111111,0.5,0.4166666666666667,3,3,7,5
within,within_A_block4,source,2,19,0.7368421052631579,0.7571428571428571,0.7076923076923077,0.7285714285714286,0.7142857142857143,0.8,10,4,1,4
