record,group,task,trial,sample,y,block,keep,hard_keep,hard_reason,q1_reason,response,reaction_time,later_direction,later_direction_delay,response_target_latency,response_cue_agreement,response_later_agreement,correct
VisualCogA_Task-1,A,1,0,5162,-1,0,True,True,,,,,-1,2.328125,,,,
VisualCogA_Task-1,A,1,1,7538,1,0,False,False,saturation_within_2s,saturation_within_2s,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,2,9690,-1,0,False,False,saturation_within_2s,saturation_within_2s;amplitude_outlier,,,-1,2.21875,,,,
VisualCogA_Task-1,A,1,3,11851,-1,0,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,4,14055,1,0,True,True,,,,,1,2.21875,,,,
VisualCogA_Task-1,A,1,5,16216,-1,0,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,6,18368,-1,0,True,True,,,,,-1,2.21875,,,,
VisualCogA_Task-1,A,1,7,20589,-1,0,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,8,22705,1,0,True,True,,,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,9,24854,1,0,True,True,,,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,10,27102,1,0,True,True,,,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,11,29254,1,0,True,True,,,,,1,2.21875,,,,
VisualCogA_Task-1,A,1,12,31379,-1,0,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,13,33520,-1,0,False,False,saturation_within_2s;flat,saturation_within_2s;flat,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,14,35676,1,0,False,False,saturation_within_2s,saturation_within_2s,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,15,37789,-1,0,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,16,39897,1,0,True,True,,,,,1,2.21875,,,,
VisualCogA_Task-1,A,1,17,42110,-1,0,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,18,44282,-1,0,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,19,46443,1,0,False,False,saturation_within_2s,saturation_within_2s,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,20,48579,-1,1,True,True,,,,,-1,2.21875,,,,
VisualCogA_Task-1,A,1,21,50676,-1,1,False,False,saturation_within_2s,saturation_within_2s,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,22,52856,1,1,True,True,,,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,23,55001,-1,1,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,24,57133,-1,1,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,25,59314,1,1,True,True,,,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,26,61410,1,1,False,False,saturation_within_2s,saturation_within_2s;amplitude_outlier,,,1,2.21875,,,,
VisualCogA_Task-1,A,1,27,63575,-1,1,False,True,,gradient_outlier;high_frequency_outlier,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,28,65663,-1,1,True,True,,,,,-1,2.21875,,,,
VisualCogA_Task-1,A,1,29,67860,-1,1,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,30,69976,-1,1,True,True,,,,,-1,2.21875,,,,
VisualCogA_Task-1,A,1,31,72081,1,1,True,True,,,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,32,74269,1,1,True,True,,,,,1,2.21875,,,,
VisualCogA_Task-1,A,1,33,76422,-1,1,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,34,78674,1,1,True,True,,,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,35,80791,-1,1,False,False,saturation_within_2s,saturation_within_2s;baseline_outlier,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,36,82931,-1,1,False,True,,gradient_outlier;high_frequency_outlier,,,-1,2.21875,,,,
VisualCogA_Task-1,A,1,37,85076,-1,1,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,38,87204,-1,1,False,False,saturation_within_2s,saturation_within_2s;baseline_outlier,,,-1,2.21875,,,,
VisualCogA_Task-1,A,1,39,89353,-1,1,False,False,saturation_within_2s,saturation_within_2s,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,40,91453,-1,2,False,False,saturation_within_2s,saturation_within_2s,,,-1,2.21875,,,,
VisualCogA_Task-1,A,1,41,93554,1,2,True,True,,,,,1,2.21875,,,,
VisualCogA_Task-1,A,1,42,95698,-1,2,True,True,,,,,-1,2.21875,,,,
VisualCogA_Task-1,A,1,43,97879,1,2,True,True,,,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,44,99995,-1,2,True,True,,,,,-1,2.21875,,,,
VisualCogA_Task-1,A,1,45,102096,-1,2,False,False,saturation_within_2s,saturation_within_2s,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,46,104233,-1,2,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,47,106421,1,2,True,True,,,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,48,108593,-1,2,True,True,,,,,-1,2.21875,,,,
VisualCogA_Task-1,A,1,49,110726,-1,2,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,50,112835,1,2,False,True,,baseline_outlier,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,51,114983,1,2,False,True,,baseline_outlier;amplitude_outlier,,,1,2.21875,,,,
VisualCogA_Task-1,A,1,52,117148,1,2,False,False,saturation_within_2s,saturation_within_2s;baseline_outlier;amplitude_outlier,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,53,119264,-1,2,False,True,,baseline_outlier,,,-1,2.21875,,,,
VisualCogA_Task-1,A,1,54,121417,1,2,True,True,,,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,55,123541,-1,2,True,True,,,,,-1,2.21875,,,,
VisualCogA_Task-1,A,1,56,125702,-1,2,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,57,127862,1,2,True,True,,,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,58,130027,1,2,True,True,,,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,59,132175,-1,2,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,60,134336,1,3,True,True,,,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,61,136656,-1,3,True,True,,,,,-1,2.21484375,,,,
VisualCogA_Task-1,A,1,62,138788,1,3,True,True,,,,,1,2.21875,,,,
VisualCogA_Task-1,A,1,63,140941,1,3,True,True,,,,,1,2.21484375,,,,
VisualCogA_Task-1,A,1,64,143037,-1,3,True,True,,,,,-1,2.21875,,,,
