scheme,alpha,size,family,parameter,balanced_accuracy,accuracy,auc,score_std
erp,0.0,8,logistic,0.01,0.5644914215686274,0.5606892958796421,0.5301207983193277,0.046557701569167775
erp,0.0,8,logistic,0.1,0.559344362745098,0.5591136656275413,0.5375021883753501,0.03853426235807013
erp,0.0,8,logistic,1.0,0.5394038865546219,0.5432917118460288,0.5131214985994398,0.0216260804535592
erp,0.0,8,logistic,10.0,0.5325455182072829,0.5382259758742206,0.5029083508403361,0.06831067381390567
erp,0.0,8,svm,0.01,0.5682729341736694,0.566466606804012,0.5367581407563025,0.05264749082067386
erp,0.0,8,svm,0.1,0.5394038865546219,0.5432917118460288,0.5138414740896359,0.0216260804535592
erp,0.0,8,svm,1.0,0.5221288515406163,0.5292974044456492,0.5056372549019609,0.06074210477335561
erp,0.0,8,svm,10.0,0.5242121848739496,0.5304134758742206,0.5060333508403362,0.0650342308011342
erp,0.0,8,lda,0.1,0.54624912464986,0.5501850941989699,0.5280549719887955,0.030272985777161178
erp,0.0,8,lda,0.5,0.5682729341736694,0.566466606804012,0.5441351540616247,0.05264749082067386
erp,0.0,8,lda,0.9,0.555562850140056,0.5533363547031716,0.5288799894957983,0.047289458424241725
erp,0.0,15,logistic,0.01,0.5066045168067227,0.5050487937110328,0.5262276785714286,0.06570258711800908
erp,0.0,15,logistic,0.1,0.5521271008403361,0.5503375745459474,0.516172093837535,0.07711515719631645
erp,0.0,15,logistic,1.0,0.4973520658263305,0.49713887571157495,0.4708967962184874,0.040800235294383924
erp,0.0,15,logistic,10.0,0.5273021708683473,0.5244836846028734,0.4816898634453781,0.10339288682612266
erp,0.0,15,svm,0.01,0.5521271008403361,0.5503375745459474,0.5237241771708683,0.07711515719631645
erp,0.0,15,svm,0.1,0.4968312324929972,0.49713887571157495,0.4799501050420168,0.04044780484158008
erp,0.0,15,svm,1.0,0.5085521708683474,0.5077426131743019,0.4863160889355742,0.09773153552605149
erp,0.0,15,svm,10.0,0.49610031512605046,0.4979055130116563,0.4851737570028011,0.1202313360866419
erp,0.0,15,lda,0.1,0.5185705532212885,0.5205213133640553,0.4928330707282913,0.04373493506713259
erp,0.0,15,lda,0.5,0.5431985294117647,0.5429846333694768,0.532875962885154,0.06538695551870906
erp,0.0,15,lda,0.9,0.5128545168067227,0.5124017348875034,0.519592524509804,0.06783140800530948
source,1e-05,6,logistic,0.01,0.4957764355742297,0.5041847384114936,0.479718137254902,0.03190224723942028
source,1e-05,6,logistic,0.1,0.4377538515406163,0.4437305164001084,0.4612132352941177,0.07664426598140249
source,1e-05,6,logistic,1.0,0.4539872198879552,0.4584363987530496,0.46565344887955185,0.051846285318406224
source,1e-05,6,logistic,10.0,0.449312850140056,0.45037188262401734,0.46416316526610646,0.05982480294208263
source,1e-05,6,svm,0.01,0.4460871848739496,0.4515430164001084,0.46518294817927175,0.07752621855164014
source,1e-05,6,svm,0.1,0.4539872198879552,0.4584363987530496,0.4653930322128851,0.051846285318406224
source,1e-05,6,svm,1.0,0.45764618347338937,0.4584363987530496,0.4652048319327731,0.04983137498439666
source,1e-05,6,svm,10.0,0.45764618347338937,0.4584363987530496,0.46315651260504204,0.04983137498439666
source,1e-05,6,lda,0.1,0.44565388655462185,0.4506238987530496,0.4692883403361345,0.05814823601034928
source,1e-05,6,lda,0.5,0.4754639355742297,0.48029826850094876,0.4685202205882353,0.04749896788519881
source,1e-05,6,lda,0.9,0.4796306022408964,0.4883077222824614,0.48454131652661064,0.047642342754896316
source,1e-05,12,logistic,0.01,0.4643294817927171,0.4728902649769585,0.4629901960784314,0.058012238359295594
source,1e-05,12,logistic,0.1,0.45241158963585437,0.4580319022770398,0.4473892682072829,0.04458193325297543
source,1e-05,12,logistic,1.0,0.4565913865546219,0.45818438262401734,0.45674238445378146,0.06567954494976419
source,1e-05,12,logistic,10.0,0.48413427871148457,0.4843580577392247,0.46338848039215685,0.08759741983568568
