scheme,alpha,size,family,parameter,balanced_accuracy,accuracy,auc,score_std
erp,0.0,8,logistic,0.01,0.546234535480859,0.5507850649838479,0.6115021008403361,0.03206289668583059
erp,0.0,8,logistic,0.1,0.5887444561157796,0.5955318909172864,0.6330823996265172,0.0570806173220052
erp,0.0,8,logistic,1.0,0.5943379435107377,0.5955318909172864,0.6243259803921568,0.09301302375124254
erp,0.0,8,logistic,10.0,0.5650968720821662,0.5702990008263842,0.6177885737628385,0.08761932525434946
erp,0.0,8,svm,0.01,0.5798158846872082,0.586911201262114,0.6389997665732959,0.05290445352849295
erp,0.0,8,svm,0.1,0.5943379435107377,0.5955318909172864,0.6269622432306257,0.09301302375124254
erp,0.0,8,svm,1.0,0.5650968720821662,0.5702990008263842,0.6192591619981326,0.08761932525434946
erp,0.0,8,svm,10.0,0.5650968720821662,0.5702990008263842,0.624234068627451,0.08761932525434946
erp,0.0,8,lda,0.1,0.5818379435107377,0.5862726316580272,0.6324900793650794,0.10464431407907306
erp,0.0,8,lda,0.5,0.5923158846872082,0.5961704605213733,0.6260854341736695,0.039340379244042135
erp,0.0,8,lda,0.9,0.554047035480859,0.5581380061603185,0.6079802754435107,0.039226213812603106
erp,0.0,15,logistic,0.01,0.5691147292250234,0.5747408158665765,0.5949973739495799,0.08276796481776881
erp,0.0,15,logistic,0.1,0.603501400560224,0.6102377732702277,0.6252130018674136,0.08069980126584082
erp,0.0,15,logistic,1.0,0.5854093720821663,0.5881789497408159,0.6352926587301587,0.10590770345225145
erp,0.0,15,logistic,10.0,0.6042950513538748,0.6060588986552475,0.6316643323996265,0.07709691445555783
erp,0.0,15,svm,0.01,0.5876283846872082,0.5942641424385846,0.6243201447245565,0.06701285924785162
erp,0.0,15,svm,0.1,0.5740254435107377,0.5789196904815566,0.6356077847805789,0.0921244512049469
erp,0.0,15,svm,1.0,0.6042950513538748,0.6060588986552475,0.63312470821662,0.07709691445555783
erp,0.0,15,svm,10.0,0.5956144957983194,0.5974382090000752,0.6455546802054155,0.044242255949550224
erp,0.0,15,lda,0.1,0.5740254435107377,0.5789196904815566,0.6299851190476191,0.0921244512049469
